Source,Country,Competition,CompetitionType,Tier,League,Season,Date,HomeRaw,AwayRaw,HomeGoals,AwayGoals,Score,Result,SourceURL,SourceLine,SourceText
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-29,Amkar,Lokomotiv,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,563,Amkar     1-0 Lokomotiv
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-29,Luch-Ener,Rubin,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus07.html,565,Luch-Ener 2-0 Rubin
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-30,Saturn,Moskva,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,568,Saturn    0-0 Moskva
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-30,Dinamo,Krylya S,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,570,Dinamo    1-1 Krylya S
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-30,Rostov,Spartak N,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus07.html,572,Rostov    0-1 Spartak N
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-30,Tom,Kuban,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus07.html,574,Tom       2-0 Kuban
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-06,Saturn,Dinamo,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus07.html,579,Saturn    2-1 Dinamo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-06,Moskva,Rostov,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,581,Moskva    1-0 Rostov
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-06,Khimki,Amkar,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,583,Khimki    1-0 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-06,Kuban,Krylya S,3,2,3-2,1-0,https://www.rsssf.org/tablesr/rus07.html,585,Kuban     3-2 Krylya S
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-07,Lokomotiv,Zenit,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,589,Lokomotiv 1-0 Zenit
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-07,CSKA,Luch-Ener,4,0,4-0,1-0,https://www.rsssf.org/tablesr/rus07.html,591,CSKA      4-0 Luch-Ener
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-07,Rubin,Tom,1,3,1-3,0-1,https://www.rsssf.org/tablesr/rus07.html,593,Rubin     1-3 Tom
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-08,Spartak N,Spartak M,1,2,1-2,0-1,https://www.rsssf.org/tablesr/rus07.html,596,Spartak N 1-2 Spartak M
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-20,Spartak M,Moskva,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus07.html,601,Spartak M 3-1 Moskva
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-20,Tom,CSKA,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus07.html,603,Tom       0-1 CSKA
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-20,Lokomotiv,Luch-Ener,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,605,Lokomotiv 1-1 Luch-Ener
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-21,Zenit,Khimki,4,1,4-1,1-0,https://www.rsssf.org/tablesr/rus07.html,608,Zenit     4-1 Khimki
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-21,Amkar,Spartak N,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,611,Amkar     1-1 Spartak N
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-21,Rostov,Saturn,1,3,1-3,0-1,https://www.rsssf.org/tablesr/rus07.html,613,Rostov    1-3 Saturn
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-21,Dinamo,Kuban,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,615,Dinamo    1-0 Kuban
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-21,Krylya S,Rubin,3,0,3-0,1-0,https://www.rsssf.org/tablesr/rus07.html,617,Krylya S  3-0 Rubin
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-27,Moskva,Amkar,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus07.html,622,Moskva    3-1 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-27,Rostov,Dinamo,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,624,Rostov    0-0 Dinamo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-27,Rubin,Kuban,2,2,2-2,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,626,Rubin     2-2 Kuban
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-27,Khimki,Luch-Ener,3,0,3-0,1-0,https://www.rsssf.org/tablesr/rus07.html,629,Khimki    3-0 Luch-Ener
