date,home_team,away_team,home_score,away_score,result,competition
2018-08-25,Argentina,South Africa,32,19,Argentina,The Rugby Championship
2018-09-08,All Blacks,Argentina,46,24,All Blacks,The Rugby Championship
2018-09-08,Australia,South Africa,23,18,Australia,The Rugby Championship
2018-09-15,All Blacks,South Africa,34,36,South Africa,The Rugby Championship
2018-09-15,Australia,Argentina,19,23,Argentina,The Rugby Championship
2018-09-29,Argentina,All Blacks,17,35,All Blacks,The Rugby Championship
2018-09-29,South Africa,Australia,23,12,South Africa,The Rugby Championship
2018-10-06,Argentina,Australia,34,45,Australia,The Rugby Championship
2018-10-06,South Africa,All Blacks,30,32,All Blacks,The Rugby Championship
2018-10-27,All Blacks,Australia,37,20,All Blacks,Bledisloe Cup
2018-11-03,England,South Africa,12,11,England,South Africa in Europe
2018-11-03,Ireland,Italy,54,7,Ireland,Autumn Internationals
2018-11-03,Japan,All Blacks,31,69,All Blacks,All Blacks in Japan & Europe
2018-11-03,Wales,Scotland,21,10,Wales,Autumn Internationals
2018-11-10,England,All Blacks,15,16,All Blacks,All Blacks in Japan & Europe
2018-11-10,France,South Africa,26,29,South Africa,South Africa in Europe
2018-11-10,Ireland,Argentina,28,17,Ireland,Argentina in Europe
2018-11-10,Italy,Georgia,28,17,Italy,Georgia in Italy
2018-11-10,Samoa,United States,29,30,United States,United States in Europe
2018-11-10,Scotland,Fiji,54,17,Scotland,Fiji in Europe
2018-11-10,Wales,Australia,9,6,Wales,Australia in Europe
2018-11-17,England,Japan,35,15,England,Japan in Europe
2018-11-17,France,Argentina,28,13,France,Argentina in Europe
2018-11-17,Georgia,Samoa,27,19,Georgia,Samoa in Europe
2018-11-17,Ireland,All Blacks,16,9,Ireland,All Blacks in Japan & Europe
2018-11-17,Italy,Australia,7,26,Australia,Australia in Europe
2018-11-17,Romania,United States,5,31,United States,United States in Europe
2018-11-17,Scotland,South Africa,20,26,South Africa,South Africa in Europe
2018-11-17,Uruguay,Fiji,7,68,Fiji,Fiji in Europe
2018-11-17,Wales,Tonga,74,24,Wales,Tonga in Europe
2018-11-24,England,Australia,37,18,England,Australia in Europe
2018-11-24,France,Fiji,14,21,Fiji,Fiji in Europe
2018-11-24,Georgia,Tonga,20,9,Georgia,Tonga in Europe
2018-11-24,Ireland,United States,57,14,Ireland,United States in Europe
2018-11-24,Italy,All Blacks,3,66,All Blacks,All Blacks in Japan & Europe
2018-11-24,Russia,Japan,27,32,Japan,Japan in Europe
2018-11-24,Scotland,Argentina,14,9,Scotland,Argentina in Europe
2018-11-24,Spain,Samoa,10,28,Samoa,Samoa in Europe
2018-11-24,Wales,South Africa,20,11,Wales,South Africa in Europe
2019-02-01,France,Wales,19,24,Wales,Six Nations Championship
2019-02-02,Chile,United States,8,71,United States,Americas Rugby Championship
2019-02-02,Ireland,England,20,32,England,Six Nations Championship
2019-02-02,Scotland,Italy,33,20,Scotland,Six Nations Championship
2019-02-02,Uruguay,Canada,20,17,Uruguay,Americas Rugby Championship
2019-02-08,Uruguay,Chile,20,5,Uruguay,Americas Rugby Championship
2019-02-09,Brazil,Canada,18,10,Brazil,Americas Rugby Championship
2019-02-09,Italy,Wales,15,26,Wales,Six Nations Championship
2019-02-09,Scotland,Ireland,13,22,Ireland,Six Nations Championship
2019-02-10,England,France,44,8,England,Six Nations Championship
2019-02-22,Canada,Chile,56,0,Canada,Americas Rugby Championship
2019-02-23,France,Scotland,27,10,France,Six Nations Championship
2019-02-23,United States,Brazil,33,28,United States,Americas Rugby Championship
2019-02-23,Wales,England,21,13,Wales,Six Nations Championship
2019-02-24,Italy,Ireland,16,26,Ireland,Six Nations Championship
2019-03-02,Brazil,Chile,15,10,Brazil,Americas Rugby Championship
2019-03-02,United States,Uruguay,25,32,Uruguay,Americas Rugby Championship
2019-03-08,United States,Canada,30,25,United States,Americas Rugby Championship
2019-03-09,England,Italy,57,14,England,Six Nations Championship
2019-03-09,Scotland,Wales,11,18,Wales,Six Nations Championship
2019-03-09,Uruguay,Brazil,42,20,Uruguay,Americas Rugby Championship
2019-03-10,Ireland,France,26,14,Ireland,Six Nations Championship
2019-03-16,England,Scotland,38,38,Draw,Six Nations Championship
2019-03-16,Italy,France,14,25,France,Six Nations Championship
2019-03-16,Wales,Ireland,25,7,Wales,Six Nations Championship
2019-07-20,Argentina,All Blacks,16,20,All Blacks,The Rugby Championship
2019-07-20,South Africa,Australia,35,17,South Africa,The Rugby Championship
2019-07-27,All Blacks,South Africa,16,16,Draw,The Rugby Championship
2019-07-27,Australia,Argentina,16,10,Australia,The Rugby Championship
2019-07-27,Japan,Fiji,34,21,Japan,World Rugby Pacific Nations Cup
2019-07-27,Samoa,Tonga,25,17,Samoa,World Rugby Pacific Nations Cup
2019-07-27,United States,Canada,47,19,United States,World Rugby Pacific Nations Cup
2019-08-03,Fiji,Canada,38,13,Fiji,World Rugby Pacific Nations Cup
2019-08-03,Japan,Tonga,41,7,Japan,World Rugby Pacific Nations Cup
2019-08-03,United States,Samoa,13,10,United States,World Rugby Pacific Nations Cup
2019-08-09,Tonga,Canada,33,23,Tonga,World Rugby Pacific Nations Cup
2019-08-10,Argentina,South Africa,13,46,South Africa,The Rugby Championship
2019-08-10,Australia,All Blacks,47,26,Australia,The Rugby Championship
2019-08-10,Fiji,Samoa,10,3,Fiji,World Rugby Pacific Nations Cup
2019-08-10,Ireland,Italy,29,10,Ireland,Rugby World Cup Warm-Up Matches
2019-08-10,United States,Japan,20,34,Japan,World Rugby Pacific Nations Cup
2019-08-11,England,Wales,33,19,England,Rugby World Cup Warm-Up Matches
2019-08-17,All Blacks,Australia,36,0,All Blacks,Bledisloe Cup
2019-08-17,France,Scotland,32,3,France,Rugby World Cup Warm-Up Matches
2019-08-17,Italy,Russia,85,15,Italy,Rugby World Cup Warm-Up Matches
2019-08-17,South Africa,Argentina,24,18,South Africa,Rugby World Cup Warm-Up Matches
2019-08-17,Wales,England,13,6,Wales,Rugby World Cup Warm-Up Matches
2019-08-24,England,Ireland,57,15,England,Rugby World Cup Warm-Up Matches
2019-08-24,Scotland,France,17,14,Scotland,Rugby World Cup Warm-Up Matches
2019-08-30,France,Italy,47,19,France,Rugby World Cup Warm-Up Matches
2019-08-31,Fiji,Tonga,29,19,Fiji,Rugby World Cup Warm-Up Matches
2019-08-31,Georgia,Scotland,10,44,Scotland,Rugby World Cup Warm-Up Matches
2019-08-31,Wales,Ireland,17,22,Ireland,Rugby World Cup Warm-Up Matches
2019-09-06,England,Italy,37,0,England,Rugby World Cup Warm-Up Matches
2019-09-06,Japan,South Africa,7,41,South Africa,Rugby World Cup Warm-Up Matches
2019-09-06,Scotland,Georgia,36,9,Scotland,Rugby World Cup Warm-Up Matches
2019-09-07,All Blacks,Tonga,92,7,All Blacks,Tonga in New Zealand
2019-09-07,Australia,Samoa,34,15,Australia,Samoa in New Zealand & Australia
2019-09-07,Canada,United States,15,20,United States,United States in Canada
2019-09-07,Ireland,Wales,19,10,Ireland,Rugby World Cup Warm-Up Matches
2019-09-20,Japan,Russia,30,10,Japan,Rugby World Cup
2019-09-21,All Blacks,South Africa,23,13,All Blacks,Rugby World Cup
2019-09-21,Australia,Fiji,39,21,Australia,Rugby World Cup
2019-09-21,France,Argentina,23,21,France,Rugby World Cup
2019-09-22,England,Tonga,35,3,England,Rugby World Cup
2019-09-22,Ireland,Scotland,27,3,Ireland,Rugby World Cup
2019-09-22,Italy,Namibia,47,22,Italy,Rugby World Cup
2019-09-23,Wales,Georgia,43,14,Wales,Rugby World Cup
2019-09-24,Russia,Samoa,9,34,Samoa,Rugby World Cup
2019-09-25,Fiji,Uruguay,27,30,Uruguay,Rugby World Cup
2019-09-26,England,United States,45,7,England,Rugby World Cup
2019-09-26,Italy,Canada,48,7,Italy,Rugby World Cup
2019-09-28,Argentina,Tonga,28,12,Argentina,Rugby World Cup
2019-09-28,Japan,Ireland,19,12,Japan,Rugby World Cup
2019-09-28,South Africa,Namibia,57,3,South Africa,Rugby World Cup
2019-09-29,Australia,Wales,25,29,Wales,Rugby World Cup
2019-09-29,Georgia,Uruguay,33,7,Georgia,Rugby World Cup
2019-09-30,Scotland,Samoa,34,0,Scotland,Rugby World Cup
2019-10-02,All Blacks,Canada,63,0,All Blacks,Rugby World Cup
2019-10-02,France,United States,33,9,France,Rugby World Cup
2019-10-03,Georgia,Fiji,10,45,Fiji,Rugby World Cup
2019-10-03,Ireland,Russia,35,0,Ireland,Rugby World Cup
2019-10-04,South Africa,Italy,49,3,South Africa,Rugby World Cup
2019-10-05,Australia,Uruguay,45,10,Australia,Rugby World Cup
2019-10-05,England,Argentina,39,10,England,Rugby World Cup
2019-10-05,Japan,Samoa,38,19,Japan,Rugby World Cup
2019-10-06,All Blacks,Namibia,71,9,All Blacks,Rugby World Cup
2019-10-06,France,Tonga,23,21,France,Rugby World Cup
2019-10-08,South Africa,Canada,66,7,South Africa,Rugby World Cup
2019-10-09,Argentina,United States,47,17,Argentina,Rugby World Cup
2019-10-09,Scotland,Russia,61,0,Scotland,Rugby World Cup
2019-10-09,Wales,Fiji,29,17,Wales,Rugby World Cup
2019-10-11,Australia,Georgia,27,8,Australia,Rugby World Cup
2019-10-12,Ireland,Samoa,47,5,Ireland,Rugby World Cup
2019-10-13,Japan,Scotland,28,21,Japan,Rugby World Cup
2019-10-13,United States,Tonga,19,31,Tonga,Rugby World Cup
2019-10-13,Wales,Uruguay,35,13,Wales,Rugby World Cup
2019-10-19,All Blacks,Ireland,46,14,All Blacks,Rugby World Cup
2019-10-19,England,Australia,40,16,England,Rugby World Cup
2019-10-20,Japan,South Africa,3,26,South Africa,Rugby World Cup
2019-10-20,Wales,France,20,19,Wales,Rugby World Cup
2019-10-26,England,All Blacks,19,7,England,Rugby World Cup
2019-10-27,Wales,South Africa,16,19,South Africa,Rugby World Cup
2019-11-01,All Blacks,Wales,40,17,All Blacks,Rugby World Cup
2019-11-02,England,South Africa,12,32,South Africa,Rugby World Cup
2020-02-01,Georgia,Romania,41,13,Georgia,Rugby Europe Championship
2020-02-01,Ireland,Scotland,19,12,Ireland,Six Nations Championship
2020-02-01,Portugal,Belgium,23,17,Portugal,Rugby Europe Championship
2020-02-01,Russia,Spain,12,31,Spain,Rugby Europe Championship
2020-02-01,Wales,Italy,42,0,Wales,Six Nations Championship
2020-02-02,France,England,24,17,France,Six Nations Championship
2020-02-08,Belgium,Russia,38,12,Belgium,Rugby Europe Championship
2020-02-08,Ireland,Wales,24,14,Ireland,Six Nations Championship
2020-02-08,Portugal,Romania,22,11,Portugal,Rugby Europe Championship
2020-02-08,Scotland,England,6,13,England,Six Nations Championship
2020-02-09,France,Italy,35,22,France,Six Nations Championship
2020-02-09,Spain,Georgia,10,23,Georgia,Rugby Europe Championship
2020-02-22,Georgia,Belgium,78,6,Georgia,Rugby Europe Championship
2020-02-22,Italy,Scotland,0,17,Scotland,Six Nations Championship
2020-02-22,Romania,Spain,24,7,Romania,Rugby Europe Championship
2020-02-22,Russia,Portugal,19,18,Russia,Rugby Europe Championship
2020-02-22,Wales,France,23,27,France,Six Nations Championship
2020-02-23,England,Ireland,24,12,England,Six Nations Championship
2020-03-07,Belgium,Spain,23,30,Spain,Rugby Europe Championship
2020-03-07,England,Wales,33,30,England,Six Nations Championship
2020-03-07,Portugal,Georgia,24,39,Georgia,Rugby Europe Championship
2020-03-07,Russia,Romania,32,25,Russia,Rugby Europe Championship
2020-03-08,Scotland,France,28,17,Scotland,Six Nations Championship
2020-10-11,All Blacks,Australia,16,16,Draw,Australia in New Zealand
2020-10-18,All Blacks,Australia,27,7,All Blacks,Australia in New Zealand
2020-10-23,Scotland,Georgia,48,7,Scotland,Georgia in Scotland
2020-10-24,France,Wales,38,21,France,Wales in France
2020-10-24,Ireland,Italy,50,17,Ireland,Six Nations Championship
2020-10-31,Australia,All Blacks,5,43,All Blacks,Tri Nations
2020-10-31,France,Ireland,35,27,France,Six Nations Championship
2020-10-31,Italy,England,5,34,England,Six Nations Championship
2020-10-31,Wales,Scotland,10,14,Scotland,Six Nations Championship
2020-11-07,Australia,All Blacks,24,22,Australia,Tri Nations
2020-11-13,Ireland,Wales,32,9,Ireland,Autumn Nations Cup
2020-11-14,All Blacks,Argentina,15,25,Argentina,Tri Nations
2020-11-14,England,Georgia,40,0,England,Autumn Nations Cup
2020-11-14,Italy,Scotland,17,28,Scotland,Autumn Nations Cup
2020-11-21,Argentina,Australia,15,15,Draw,Tri Nations
2020-11-21,England,Ireland,18,7,England,Autumn Nations Cup
2020-11-21,Wales,Georgia,18,0,Wales,Autumn Nations Cup
2020-11-22,Scotland,France,15,22,France,Autumn Nations Cup
2020-11-28,Argentina,All Blacks,0,38,All Blacks,Tri Nations
2020-11-28,France,Italy,36,5,France,Autumn Nations Cup
2020-11-28,Wales,England,13,24,England,Autumn Nations Cup
2020-11-29,Ireland,Georgia,23,10,Ireland,Autumn Nations Cup
2020-12-05,Australia,Argentina,16,16,Draw,Tri Nations
2020-12-05,Georgia,Fiji,24,38,Fiji,Autumn Nations Cup
2020-12-05,Ireland,Scotland,31,16,Ireland,Autumn Nations Cup
2020-12-05,Wales,Italy,38,18,Wales,Autumn Nations Cup
2020-12-06,England,France,22,19,England,Autumn Nations Cup
2021-02-06,England,Scotland,6,11,Scotland,Six Nations Championship
2021-02-06,Italy,France,10,50,France,Six Nations Championship
2021-02-07,Georgia,Russia,16,7,Georgia,Rugby Europe Championship
2021-02-07,Spain,Portugal,25,11,Spain,Rugby Europe Championship
2021-02-07,Wales,Ireland,21,16,Wales,Six Nations Championship
2021-02-13,England,Italy,41,18,England,Six Nations Championship
2021-02-13,Scotland,Wales,24,25,Wales,Six Nations Championship
2021-02-14,Ireland,France,13,15,France,Six Nations Championship
2021-02-27,Italy,Ireland,10,48,Ireland,Six Nations Championship
2021-02-27,Wales,England,40,24,Wales,Six Nations Championship
2021-03-06,Portugal,Georgia,16,29,Georgia,Rugby Europe Championship
2021-03-06,Russia,Romania,18,13,Russia,Rugby Europe Championship
2021-03-13,England,France,23,20,England,Six Nations Championship
2021-03-13,Italy,Wales,7,48,Wales,Six Nations Championship
2021-03-13,Portugal,Romania,27,28,Romania,Rugby Europe Championship
2021-03-14,Scotland,Ireland,24,27,Ireland,Six Nations Championship
2021-03-14,Spain,Georgia,19,25,Georgia,Rugby Europe Championship
2021-03-20,France,Wales,32,30,France,Six Nations Championship
2021-03-20,Ireland,England,32,18,Ireland,Six Nations Championship
2021-03-20,Romania,Spain,22,16,Romania,Rugby Europe Championship
2021-03-20,Russia,Georgia,6,23,Georgia,Rugby Europe Championship
2021-03-20,Scotland,Italy,52,10,Scotland,Six Nations Championship
2021-03-26,France,Scotland,23,27,Scotland,Six Nations Championship
2021-03-27,Portugal,Spain,43,28,Portugal,Rugby Europe Championship
2021-03-28,Georgia,Romania,28,17,Georgia,Rugby Europe Championship
2021-05-29,Belgium,Netherlands,21,23,Netherlands,Rugby Europe Championship Relegation/Promotion Play-Off
2021-06-26,British and Irish Lions,Japan,28,10,British and Irish Lions,British & Irish Lions in South Africa
2021-06-26,Georgia,Netherlands,48,15,Georgia,Rugby Europe Championship
2021-07-02,South Africa,Georgia,40,9,South Africa,Georgia in South Africa
2021-07-03,All Blacks,Tonga,102,0,All Blacks,Tonga in New Zealand
2021-07-03,Ireland,Japan,39,31,Ireland,Japan in Ireland
2021-07-03,Romania,Argentina,17,24,Argentina,Argentina in Europe (July)
2021-07-03,Wales,Canada,68,12,Wales,Canada in United Kingdom
2021-07-04,England,United States,43,29,England,United States in United Kingdom
2021-07-07,Australia,France,23,21,Australia,France in Australia
2021-07-10,England,Canada,70,14,England,Canada in United Kingdom
2021-07-10,Ireland,United States,71,10,Ireland,United States in United Kingdom
2021-07-10,Netherlands,Portugal,28,61,Portugal,Rugby Europe Championship
2021-07-10,Samoa,Tonga,42,13,Samoa,Samoa in New Zealand
2021-07-10,Wales,Argentina,20,20,Draw,Argentina in Europe (July)
2021-07-11,All Blacks,Fiji,57,23,All Blacks,Fiji in New Zealand
2021-07-13,Australia,France,26,28,France,France in Australia
2021-07-17,All Blacks,Fiji,60,13,All Blacks,Fiji in New Zealand
2021-07-17,Australia,France,33,30,Australia,France in Australia
2021-07-17,Russia,Portugal,26,49,Portugal,Rugby Europe Championship
2021-07-17,Tonga,Samoa,15,37,Samoa,Samoa in New Zealand
2021-07-17,Wales,Argentina,11,33,Argentina,Argentina in Europe (July)
2021-07-24,South Africa,British and Irish Lions,17,22,British and Irish Lions,British & Irish Lions in South Africa
2021-07-24,Tonga,Cook Islands,54,10,Tonga,Tonga in New Zealand
2021-07-31,South Africa,British and Irish Lions,27,9,South Africa,British & Irish Lions in South Africa
2021-08-07,All Blacks,Australia,33,25,All Blacks,Bledisloe Cup
2021-08-07,South Africa,British and Irish Lions,19,16,South Africa,British & Irish Lions in South Africa
2021-08-14,All Blacks,Australia,57,22,All Blacks,The Rugby Championship
2021-08-14,South Africa,Argentina,32,12,South Africa,The Rugby Championship
2021-08-21,Argentina,South Africa,10,29,South Africa,The Rugby Championship
2021-09-04,Canada,United States,34,21,Canada,Rugby World Cup Qualifiers (2023)
2021-09-05,Australia,All Blacks,21,38,All Blacks,The Rugby Championship
2021-09-11,United States,Canada,38,16,United States,Rugby World Cup Qualifiers (2023)
2021-09-12,All Blacks,Argentina,39,0,All Blacks,The Rugby Championship
2021-09-12,South Africa,Australia,26,28,Australia,The Rugby Championship
2021-09-18,Argentina,All Blacks,13,36,All Blacks,The Rugby Championship
2021-09-18,Australia,South Africa,30,17,Australia,The Rugby Championship
2021-09-25,All Blacks,South Africa,19,17,All Blacks,The Rugby Championship
2021-09-25,Australia,Argentina,27,8,Australia,The Rugby Championship
2021-10-02,Argentina,Australia,17,32,Australia,The Rugby Championship
2021-10-02,South Africa,All Blacks,31,29,South Africa,The Rugby Championship
2021-10-02,United States,Uruguay,19,16,United States,Rugby World Cup Qualifiers (2023)
2021-10-09,Uruguay,United States,34,15,Uruguay,Rugby World Cup Qualifiers (2023)
2021-10-23,Japan,Australia,23,32,Australia,Australia in Northern Hemisphere
2021-10-23,United States,All Blacks,14,104,All Blacks,All Blacks in Northern Hemisphere
2021-10-30,Scotland,Tonga,60,14,Scotland,Tonga in Northern Hemisphere
2021-10-30,Wales,All Blacks,16,54,All Blacks,All Blacks in Northern Hemisphere
2021-11-06,England,Tonga,69,3,England,Tonga in Northern Hemisphere
2021-11-06,France,Argentina,29,20,France,Argentina in Europe (Nov)
2021-11-06,Ireland,Japan,60,5,Ireland,Japan in Europe (Nov)
2021-11-06,Italy,All Blacks,9,47,All Blacks,All Blacks in Northern Hemisphere
2021-11-06,Portugal,Canada,20,17,Portugal,Canada in Europe
2021-11-06,Spain,Fiji,13,43,Fiji,Fiji in Europe
2021-11-06,Wales,South Africa,18,23,South Africa,South Africa in Europe
2021-11-07,Scotland,Australia,15,13,Scotland,Australia in Northern Hemisphere
2021-11-13,England,Australia,32,15,England,Australia in Northern Hemisphere
2021-11-13,Ireland,All Blacks,29,20,Ireland,All Blacks in Northern Hemisphere
2021-11-13,Italy,Argentina,16,37,Argentina,Argentina in Europe (Nov)
2021-11-13,Portugal,Japan,25,38,Japan,Japan in Europe (Nov)
2021-11-13,Scotland,South Africa,15,30,South Africa,South Africa in Europe
2021-11-14,France,Georgia,41,15,France,Georgia in France
2021-11-14,Wales,Fiji,38,23,Wales,Fiji in Europe
2021-11-20,England,South Africa,27,26,England,South Africa in Europe
2021-11-20,France,All Blacks,40,25,France,All Blacks in Northern Hemisphere
2021-11-20,Georgia,Fiji,15,15,Draw,Fiji in Europe
2021-11-20,Italy,Uruguay,17,10,Italy,Uruguay in Italy
2021-11-20,Romania,Tonga,32,20,Romania,Tonga in Northern Hemisphere
2021-11-20,Scotland,Japan,29,20,Scotland,Japan in Europe (Nov)
2021-11-20,Wales,Australia,29,28,Wales,Australia in Northern Hemisphere
2021-11-21,Ireland,Argentina,53,7,Ireland,Argentina in Europe (Nov)
2022-02-05,Ireland,Wales,29,7,Ireland,Six Nations Championship
2022-02-05,Romania,Russia,34,25,Romania,Rugby Europe Championship
2022-02-05,Scotland,England,20,17,Scotland,Six Nations Championship
2022-02-05,Spain,Netherlands,43,0,Spain,Rugby Europe Championship
2022-02-06,France,Italy,37,10,France,Six Nations Championship
2022-02-06,Georgia,Portugal,25,25,Draw,Rugby Europe Championship
2022-02-12,France,Ireland,30,24,France,Six Nations Championship
2022-02-12,Netherlands,Georgia,10,72,Georgia,Rugby Europe Championship
2022-02-12,Romania,Portugal,37,27,Romania,Rugby Europe Championship
2022-02-12,Russia,Spain,37,41,Spain,Rugby Europe Championship
2022-02-12,Wales,Scotland,20,17,Wales,Six Nations Championship
2022-02-13,Italy,England,0,33,England,Six Nations Championship
2022-02-26,England,Wales,23,19,England,Six Nations Championship
2022-02-26,Portugal,Netherlands,59,3,Portugal,Rugby Europe Championship
2022-02-26,Scotland,France,17,36,France,Six Nations Championship
2022-02-27,Ireland,Italy,57,6,Ireland,Six Nations Championship
2022-02-27,Spain,Romania,38,21,Spain,Rugby Europe Championship
2022-03-11,Wales,France,9,13,France,Six Nations Championship
2022-03-12,England,Ireland,15,32,Ireland,Six Nations Championship
2022-03-12,Italy,Scotland,22,33,Scotland,Six Nations Championship
2022-03-12,Romania,Georgia,23,26,Georgia,Rugby Europe Championship
2022-03-13,Spain,Portugal,33,28,Spain,Rugby Europe Championship
2022-03-19,France,England,25,13,France,Six Nations Championship
2022-03-19,Ireland,Scotland,26,5,Ireland,Six Nations Championship
2022-03-19,Netherlands,Romania,12,38,Romania,Rugby Europe Championship
2022-03-19,Wales,Italy,21,22,Italy,Six Nations Championship
2022-03-20,Georgia,Spain,49,15,Georgia,Rugby Europe Championship
2022-06-18,Japan,Uruguay,34,15,Japan,Uruguay in Japan
2022-06-25,Japan,Uruguay,43,7,Japan,Uruguay in Japan
2022-06-25,Netherlands,Zimbabwe,7,30,Zimbabwe,Zimbabwe in Netherlands
2022-06-25,Portugal,Italy,31,38,Italy,Italy in Europe
2022-07-01,Romania,Italy,13,45,Italy,Italy in Europe
2022-07-02,All Blacks,Ireland,42,19,All Blacks,Ireland in New Zealand
2022-07-02,Argentina,Scotland,26,18,Argentina,Scotland in Argentina
2022-07-02,Australia,England,30,28,Australia,England in Australia
2022-07-02,Canada,Belgium,45,0,Canada,Belgium in Canada
2022-07-02,Fiji,Tonga,36,0,Fiji,World Rugby Pacific Nations Cup
2022-07-02,Japan,France,23,42,France,France in Japan
2022-07-02,South Africa,Wales,32,29,South Africa,Wales in South Africa
2022-07-03,Georgia,Argentina XV,24,30,Argentina XV,Argentina XV in Europe
2022-07-09,All Blacks,Ireland,12,23,Ireland,Ireland in New Zealand
2022-07-09,Argentina,Scotland,6,29,Scotland,Scotland in Argentina
2022-07-09,Australia,England,17,25,England,England in Australia
2022-07-09,Chile,United States,21,22,United States,Rugby World Cup Qualifiers (2023)
2022-07-09,Japan,France,15,20,France,France in Japan
2022-07-09,Samoa,Tonga,34,18,Samoa,World Rugby Pacific Nations Cup
2022-07-09,South Africa,Wales,12,13,Wales,Wales in South Africa
2022-07-10,Canada,Spain,34,57,Spain,Spain in Canada
2022-07-10,Georgia,Italy,28,19,Georgia,Italy in Europe
2022-07-10,Uruguay,Romania,22,30,Romania,Romania in Uruguay
2022-07-16,All Blacks,Ireland,22,32,Ireland,Ireland in New Zealand
2022-07-16,Argentina,Scotland,34,31,Argentina,Scotland in Argentina
2022-07-16,Australia,England,17,21,England,England in Australia
2022-07-16,Fiji,Samoa,30,23,Fiji,World Rugby Pacific Nations Cup
2022-07-16,Georgia,Portugal,23,14,Georgia,Portugal in Georgia
2022-07-16,South Africa,Wales,30,14,South Africa,Wales in South Africa
2022-07-16,United States,Chile,29,31,Chile,Rugby World Cup Qualifiers (2023)
2022-07-17,Uruguay,Romania,26,20,Uruguay,Romania in Uruguay
2022-07-23,Tonga,Hong Kong,44,22,Tonga,Rugby World Cup Qualifiers (2023)
2022-08-06,Argentina,Australia,26,41,Australia,The Rugby Championship
2022-08-06,South Africa,All Blacks,26,10,South Africa,The Rugby Championship
2022-08-13,Argentina,Australia,48,17,Argentina,The Rugby Championship
2022-08-13,South Africa,All Blacks,23,35,All Blacks,The Rugby Championship
2022-08-27,All Blacks,Argentina,18,25,Argentina,The Rugby Championship
2022-08-27,Australia,South Africa,25,17,Australia,The Rugby Championship
2022-09-03,All Blacks,Argentina,53,3,All Blacks,The Rugby Championship
2022-09-03,Australia,South Africa,8,24,South Africa,The Rugby Championship
2022-09-15,Australia,All Blacks,37,39,All Blacks,The Rugby Championship
2022-09-17,Argentina,South Africa,20,36,South Africa,The Rugby Championship
2022-09-24,All Blacks,Australia,40,14,All Blacks,The Rugby Championship
2022-09-24,South Africa,Argentina,38,21,South Africa,The Rugby Championship
2022-10-29,Japan,All Blacks,31,38,All Blacks,All Blacks in Northern Hemisphere
2022-10-29,Scotland,Australia,15,16,Australia,Australia in Europe
2022-11-05,France,Australia,30,29,France,Australia in Europe
2022-11-05,Ireland,South Africa,19,16,Ireland,South Africa in Europe
2022-11-05,Italy,Samoa,49,17,Italy,Samoa in Europe
2022-11-05,Romania,Chile,30,23,Romania,Chile in Romania
2022-11-05,Scotland,Fiji,28,12,Scotland,Fiji in Europe
2022-11-05,Spain,Tonga,6,40,Tonga,Tonga in Europe
2022-11-05,Wales,All Blacks,23,55,All Blacks,All Blacks in Northern Hemisphere
2022-11-06,England,Argentina,29,30,Argentina,Argentina in Europe
2022-11-06,Georgia,Uruguay,34,18,Georgia,Uruguay in Georgia
2022-11-06,United States,Kenya,68,14,United States,Rugby World Cup Qualifiers (2023)
2022-11-12,England,Japan,52,13,England,Japan in Europe
2022-11-12,France,South Africa,30,26,France,South Africa in Europe
2022-11-12,Georgia,Samoa,19,20,Samoa,Samoa in Europe
2022-11-12,Ireland,Fiji,35,17,Ireland,Fiji in Europe
2022-11-12,Italy,Australia,28,27,Italy,Australia in Europe
2022-11-12,Netherlands,Canada,25,37,Canada,Canada in Europe
2022-11-12,Spain,Namibia,34,15,Spain,Namibia in Spain
2022-11-12,Tonga,Chile,39,10,Tonga,Tonga in Europe
2022-11-12,United States,Hong Kong,49,7,United States,Rugby World Cup Qualifiers (2023)
2022-11-12,Wales,Argentina,20,13,Wales,Argentina in Europe
2022-11-13,Scotland,All Blacks,23,31,All Blacks,All Blacks in Northern Hemisphere
2022-11-18,United States,Portugal,16,16,Draw,Rugby World Cup Qualifiers (2023)
2022-11-19,Canada,Namibia,37,43,Namibia,Canada in Europe
2022-11-19,England,All Blacks,25,25,Draw,All Blacks in Northern Hemisphere
2022-11-19,Ireland,Australia,13,10,Ireland,Australia in Europe
2022-11-19,Italy,South Africa,21,63,South Africa,South Africa in Europe
2022-11-19,Romania,Samoa,0,22,Samoa,Samoa in Europe
2022-11-19,Scotland,Argentina,52,29,Scotland,Argentina in Europe
2022-11-19,Tonga,Uruguay,43,19,Tonga,Tonga in Europe
2022-11-19,Wales,Georgia,12,13,Georgia,Georgia in Wales
2022-11-20,France,Japan,35,17,France,Japan in Europe
2022-11-26,England,South Africa,13,27,South Africa,South Africa in Europe
2022-11-26,Wales,Australia,34,39,Australia,Australia in Europe
2023-02-04,England,Scotland,23,29,Scotland,Six Nations Championship
2023-02-04,Portugal,Belgium,54,17,Portugal,Rugby Europe Championship
2023-02-04,Romania,Poland,67,27,Romania,Rugby Europe Championship
2023-02-04,Wales,Ireland,10,34,Ireland,Six Nations Championship
2023-02-05,Georgia,Germany,75,12,Georgia,Rugby Europe Championship
2023-02-05,Italy,France,24,29,France,Six Nations Championship
2023-02-05,Spain,Netherlands,28,20,Spain,Rugby Europe Championship
2023-02-11,Belgium,Romania,5,56,Romania,Rugby Europe Championship
