date,home_team,away_team,home_score,away_score,result,competition
1925-01-18,France,All Blacks,6,30,All Blacks,"All Blacks in Australia, Europe & Canada (1924-25)"
1925-01-24,Scotland,France,25,4,Scotland,Five Nations Championship
1925-02-14,England,Wales,12,6,England,Five Nations Championship
1925-02-28,England,Ireland,6,6,Draw,Five Nations Championship
1925-02-28,Ireland,Scotland,8,14,Scotland,Five Nations Championship
1925-02-28,Wales,Scotland,14,24,Scotland,Five Nations Championship
1925-03-07,Wales,France,11,5,Wales,Five Nations Championship
1925-03-14,Ireland,Wales,19,3,Ireland,Five Nations Championship
1925-03-21,Scotland,England,14,11,Scotland,Five Nations Championship
1925-04-18,France,England,11,13,England,Five Nations Championship
1926-01-03,France,Scotland,6,20,Scotland,Five Nations Championship
1926-01-16,Wales,England,3,3,Draw,Five Nations Championship
1926-01-23,Ireland,France,11,0,Ireland,Five Nations Championship
1926-02-06,Scotland,Wales,8,5,Scotland,Five Nations Championship
1926-02-13,Ireland,England,19,15,Ireland,Five Nations Championship
1926-02-27,England,France,11,0,England,Five Nations Championship
1926-02-27,Scotland,Ireland,0,3,Ireland,Five Nations Championship
1926-03-13,Wales,Ireland,11,8,Wales,Five Nations Championship
1926-03-20,England,Scotland,9,17,Scotland,Five Nations Championship
1926-04-02,France,Wales,5,7,Wales,Five Nations Championship
1927-01-01,France,Ireland,3,8,Ireland,Five Nations Championship
1927-01-15,England,Wales,11,9,England,Five Nations Championship
1927-01-15,Scotland,France,23,6,Scotland,Five Nations Championship
1927-02-05,Wales,Scotland,0,5,Scotland,Five Nations Championship
1927-02-12,England,Ireland,8,6,England,Five Nations Championship
1927-02-26,Ireland,Scotland,6,0,Ireland,Five Nations Championship
1927-02-26,Wales,France,25,7,Wales,Five Nations Championship
1927-03-12,Ireland,Wales,19,9,Ireland,Five Nations Championship
1927-03-19,Scotland,England,21,13,Scotland,Five Nations Championship
1927-04-02,France,England,3,0,France,Five Nations Championship
1927-04-17,France,Germany,30,5,France,Germany in France
1927-05-15,Germany,France,17,16,Germany,France in Germany
1927-11-12,Ireland,New South Wales,3,5,New South Wales,"New South Wales in United Kingdom, France & Canada (1927-28)"
1927-11-26,Wales,New South Wales,8,18,New South Wales,"New South Wales in United Kingdom, France & Canada (1927-28)"
1927-12-17,Scotland,New South Wales,10,8,Scotland,"New South Wales in United Kingdom, France & Canada (1927-28)"
1928-01-02,France,Scotland,6,15,Scotland,Five Nations Championship
1928-01-07,England,New South Wales,18,11,England,"New South Wales in United Kingdom, France & Canada (1927-28)"
1928-01-21,Wales,England,8,10,England,Five Nations Championship
1928-01-22,France,New South Wales,8,11,New South Wales,"New South Wales in United Kingdom, France & Canada (1927-28)"
1928-01-28,Ireland,France,12,8,Ireland,Five Nations Championship
1928-02-04,Scotland,Wales,0,13,Wales,Five Nations Championship
1928-02-11,Ireland,England,6,7,England,Five Nations Championship
1928-02-25,England,France,18,8,England,Five Nations Championship
1928-02-25,Scotland,Ireland,5,13,Ireland,Five Nations Championship
1928-03-10,Wales,Ireland,10,13,Ireland,Five Nations Championship
1928-03-17,England,Scotland,6,0,England,Five Nations Championship
1928-03-18,Germany,France,3,14,France,France in Germany
1928-04-09,France,Wales,8,3,France,Five Nations Championship
1928-06-30,South Africa,All Blacks,17,0,South Africa,All Blacks in South Africa
1928-07-21,South Africa,All Blacks,6,7,All Blacks,All Blacks in South Africa
1928-08-18,South Africa,All Blacks,11,6,South Africa,All Blacks in South Africa
1928-09-01,South Africa,All Blacks,5,13,All Blacks,All Blacks in South Africa
1928-12-31,France,Ireland,0,6,Ireland,Five Nations Championship
1929-01-19,England,Wales,8,3,England,Five Nations Championship
1929-01-19,Scotland,France,6,3,Scotland,Five Nations Championship
1929-02-02,Wales,Scotland,17,7,Wales,Five Nations Championship
1929-02-09,England,Ireland,5,6,Ireland,Five Nations Championship
1929-02-23,Ireland,Scotland,7,16,Scotland,Five Nations Championship
1929-02-23,Wales,France,8,3,Wales,Five Nations Championship
1929-03-09,Ireland,Wales,5,5,Draw,Five Nations Championship
1929-03-16,Scotland,England,12,6,Scotland,Five Nations Championship
1929-04-01,France,England,6,16,England,Five Nations Championship
1929-04-28,France,Germany,24,0,France,Germany in France
1929-07-06,Australia,All Blacks,9,8,Australia,All Blacks in Australia
1929-07-20,Australia,All Blacks,17,9,Australia,All Blacks in Australia
1929-07-27,Australia,All Blacks,15,13,Australia,All Blacks in Australia
