Country,Competition,Season,League,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate,DuplicateFixtureKeys,Status
Spain,segunda_division,2019/20,Segunda División,462,462,0,22,2019-08-07,2020-07-20,0,PRESENT
Spain,segunda_division,2020/21,Segunda División,462,462,0,22,2020-09-12,2021-05-30,0,PRESENT
Spain,segunda_division,2021/22,Segunda División,462,462,0,22,2021-08-13,2022-05-29,0,PRESENT
Spain,segunda_division,2022/23,Segunda División,462,462,0,22,2022-08-12,2023-05-28,0,PRESENT
Spain,segunda_division,2023/24,Segunda División,462,462,0,22,2023-08-11,2024-06-02,0,PRESENT
Spain,segunda_division,2024/25,Segunda División,462,453,9,22,2024-08-15,2025-06-01,0,PARTIAL
Spain,segunda_division,2025/26,Segunda División,462,131,331,22,2025-08-15,2026-05-31,0,PARTIAL
Switzerland,swiss_super_league,2019/20,Swiss Super League,180,180,0,10,2019-07-19,2020-07-31,0,PRESENT
Switzerland,swiss_super_league,2020/21,Swiss Super League,180,180,0,10,2020-09-19,2021-05-21,0,PRESENT
Switzerland,swiss_super_league,2021/22,Swiss Super League,180,180,0,10,2021-07-24,2022-05-22,0,PRESENT
Switzerland,swiss_super_league,2022/23,Swiss Super League,179,179,0,10,2022-07-16,2023-05-29,0,PRESENT
Switzerland,swiss_super_league,2023/24,Swiss Super League,228,228,0,12,2023-07-22,2024-07-30,0,PRESENT
Switzerland,swiss_super_league,2024/25,Swiss Super League,228,228,0,12,2024-07-20,2025-07-28,0,PRESENT
Switzerland,swiss_super_league,2025/26,Swiss Super League,228,228,0,12,2025-07-25,2026-05-17,0,PRESENT
Turkey,super_lig,2019/20,Süper Lig,306,306,0,19,2019-08-16,2020-07-26,0,PRESENT
Turkey,super_lig,2020/21,Süper Lig,420,420,0,21,2020-09-11,2021-05-15,0,PRESENT
Turkey,super_lig,2021/22,,0,0,0,0,NA,NA,0,MISSING
Turkey,super_lig,2022/23,,0,0,0,0,NA,NA,0,MISSING
Turkey,super_lig,2023/24,Süper Lig,380,380,0,20,2023-08-11,2024-05-26,0,PRESENT
Turkey,super_lig,2024/25,Süper Lig,342,338,4,19,2024-08-09,2025-06-01,0,PARTIAL
Turkey,super_lig,2025/26,Süper Lig,306,99,207,18,2025-08-08,2026-05-17,0,PARTIAL
Ukraine,ukrainian_premier_league,2019/20,Ukrainian Premier League,164,164,0,12,2019-07-28,2020-06-28,0,PRESENT
Ukraine,ukrainian_premier_league,2020/21,Ukrainian Premier League,205,205,0,14,2020-07-03,2021-05-09,0,PRESENT
Ukraine,ukrainian_premier_league,2021/22,Ukrainian Premier League,143,143,0,16,2021-07-23,2021-12-12,0,PRESENT
Ukraine,ukrainian_premier_league,2022/23,,0,0,0,0,NA,NA,0,MISSING
Ukraine,ukrainian_premier_league,2023/24,Ukrainian Premier League,240,240,0,16,2023-07-28,2024-07-30,0,PRESENT
