Country,Competition,League,Season,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate,DuplicateFixtureKeys,ConflictingFixtureKeys,Status
Scotland,scottish_premiership,Scottish Premiership,2020/21,198,198,0,12,2020-08-01,2021-03-21,0,0,PRESENT
Scotland,scottish_premiership,Scottish Premiership,2021/22,228,228,0,12,2021-07-31,2022-05-15,0,0,PRESENT
Scotland,scottish_premiership,Scottish Premiership,2022/23,228,228,0,12,2022-07-30,2023-05-28,0,0,PRESENT
Scotland,scottish_premiership,Scottish Premiership,2023/24,228,228,0,12,2023-08-05,2024-05-19,0,0,PRESENT
Scotland,scottish_premiership,Scottish Premiership,2024/25,228,228,0,12,2024-08-03,2025-05-18,0,0,PRESENT
Scotland,scottish_premiership,Scottish Premiership,2025/26,198,63,135,12,2025-08-02,2026-04-11,0,0,PARTIAL
Spain,la_liga,La Liga,2019/20,380,380,0,20,2019-08-16,2020-07-19,0,0,PRESENT
Spain,la_liga,La Liga,2020/21,380,380,0,20,2020-09-12,2021-05-23,0,0,PRESENT
Spain,la_liga,La Liga,2021/22,380,380,0,20,2021-08-13,2022-05-22,0,0,PRESENT
Spain,la_liga,La Liga,2022/23,380,380,0,20,2022-08-12,2023-06-04,0,0,PRESENT
Spain,la_liga,La Liga,2023/24,380,380,0,20,2023-08-11,2024-05-26,0,0,PRESENT
Spain,la_liga,La Liga,2024/25,380,380,0,20,2024-08-15,2025-05-25,0,0,PRESENT
Spain,la_liga,La Liga,2025/26,380,380,0,20,2025-08-15,2026-05-24,0,0,PRESENT
Spain,segunda_division,Segunda Division,2019/20,0,0,0,0,NA,NA,0,0,MISSING
Spain,segunda_division,Segunda Division,2020/21,0,0,0,0,NA,NA,0,0,MISSING
Spain,segunda_division,Segunda Division,2021/22,0,0,0,0,NA,NA,0,0,MISSING
Spain,segunda_division,Segunda Division,2022/23,0,0,0,0,NA,NA,0,0,MISSING
Spain,segunda_division,Segunda Division,2023/24,0,0,0,0,NA,NA,0,0,MISSING
