player_id,player_name,gender_symbol,gender,flag,homepage_rank,homepage_elo,profile_url
889,Anzai Nobuaki,♂,male,jp,251,3219,https://www.goratings.org/en/players/889.html
1940,Kwon Hyojin (m),♂,male,kr,252,3217,https://www.goratings.org/en/players/1940.html
2371,Kuwabara Itsuki,♂,male,jp,253,3215,https://www.goratings.org/en/players/2371.html
2459,Huang Qiuxuan,♂,male,cn,254,3215,https://www.goratings.org/en/players/2459.html
251,Yuki Satoshi,♂,male,jp,255,3214,https://www.goratings.org/en/players/251.html
487,Gan Siyang,♂,male,cn,256,3214,https://www.goratings.org/en/players/487.html
1186,Muramatsu Hiroki,♂,male,jp,257,3211,https://www.goratings.org/en/players/1186.html
98,Cho Chi Hun,♂,male,jp,258,3210,https://www.goratings.org/en/players/98.html
2040,Zhang Mingkang,♂,male,cn,259,3209,https://www.goratings.org/en/players/2040.html
2225,Kwak Wonkeun,♂,male,kr,260,3208,https://www.goratings.org/en/players/2225.html
262,Kim Myeongwan,♂,male,kr,261,3206,https://www.goratings.org/en/players/262.html
2287,Zhu Yanzhen,♂,male,cn,262,3204,https://www.goratings.org/en/players/2287.html
1592,Lu Minquan,♀,female,cn,263,3204,https://www.goratings.org/en/players/1592.html
2476,Ki Minchan,♂,male,kr,264,3204,https://www.goratings.org/en/players/2476.html
1230,Tsuruta Kazushi,♂,male,jp,265,3202,https://www.goratings.org/en/players/1230.html
10000941,Jeong Seojoon,♂,male,kr,266,3200,https://www.goratings.org/en/players/kba_10000941.html
2422,Tu Jikang,♂,male,cn,267,3200,https://www.goratings.org/en/players/2422.html
1255,Kim Chaeyoung,♀,female,kr,268,3199,https://www.goratings.org/en/players/1255.html
1584,Nishi Takenobu,♂,male,jp,269,3198,https://www.goratings.org/en/players/1584.html
1107,Wang Yuzi,♂,male,cn,270,3197,https://www.goratings.org/en/players/1107.html
2491,Kang Jaewoo,♂,male,kr,271,3196,https://www.goratings.org/en/players/2491.html
360,Fujii Shuya,♂,male,jp,272,3196,https://www.goratings.org/en/players/360.html
1877,Tsuji Shigehito,♂,male,jp,273,3195,https://www.goratings.org/en/players/1877.html
78,Wang Yao,♂,male,cn,274,3194,https://www.goratings.org/en/players/78.html
604,Chang Li Yu,♂,male,jp,275,3192,https://www.goratings.org/en/players/604.html
2377,Won Jehun,♂,male,kr,276,3191,https://www.goratings.org/en/players/2377.html
1974,Muramoto Wataru,♂,male,jp,277,3191,https://www.goratings.org/en/players/1974.html
2203,Fujii Koki,♂,male,jp,278,3190,https://www.goratings.org/en/players/2203.html
71,Wang Li Chen,♂,male,jp,279,3189,https://www.goratings.org/en/players/71.html
1777,Oomote Takuto,♂,male,jp,280,3189,https://www.goratings.org/en/players/1777.html
981,Li He,♀,female,cn,281,3188,https://www.goratings.org/en/players/981.html
1647,Fang Ruoxi,♀,female,cn,282,3188,https://www.goratings.org/en/players/1647.html
2503,Han Jooyoung,♂,male,kr,283,3186,https://www.goratings.org/en/players/2503.html
