Date,Black,White,ResultCode,GameKey,BlackFirstAppearance,WhiteFirstAppearance,BlackStartRating,WhiteStartRating,Gb_Before,Gw_Before,Kb,Kw,Rb_Before,Rw_Before,ExpectedBlack,ExpectedWhite,Rb_After,Rw_After,Gb_After,Gw_After
2023-01-05,Park Junghwan,Lee Yeonggu,W+T,2023-01-05|Park Junghwan|Lee Yeonggu|W+T,TRUE,FALSE,3169.831790601538,2971.769474179019,0,1,40,40,3169.831790601538,2998.9816726798686,0.7278006223920435,0.27219937760795654,3140.7197657058564,3028.0936975755503,1,2
2023-01-05,Peng Jinghua,Liu Yifang,B+R,2023-01-05|Peng Jinghua|Liu Yifang|B+R,FALSE,TRUE,2864.0871661550364,2868.402375349855,1,0,40,40,2849.8836883994445,2868.402375349855,0.4733746766177457,0.5266253233822543,2870.948701334735,2847.3373624145647,2,1
2023-01-05,Shen Yien,Ding Shaojie,B+6.5,2023-01-05|Shen Yien|Ding Shaojie|B+6.5,FALSE,FALSE,3006.3891982745895,2820.112969170299,1,1,40,40,3019.743288565737,2808.3446521531414,0.7715190227839162,0.22848097721608385,3028.8825276543807,2799.205413064498,2,2
2023-01-05,Song Jihoon,Park Jonghoon,B+R,2023-01-05|Song Jihoon|Park Jonghoon|B+R,TRUE,TRUE,3100.2949154703374,3001.1768168346425,0,0,40,40,3100.2949154703374,3001.1768168346425,0.6388946064237003,0.36110539357629967,3114.7391312133896,2986.7326010915904,1,1
2023-01-05,Wu Yanchen,Cai Wenhe,B+R,2023-01-05|Wu Yanchen|Cai Wenhe|B+R,FALSE,TRUE,2972.1309121490394,2746.514982829814,1,0,40,40,2960.20763942389,2746.514982829814,0.7738384937412471,0.22616150625875286,2969.2540996742405,2737.4685225794638,2,1
2023-01-05,Xie Chenghan,Huang Wei,W+R,2023-01-05|Xie Chenghan|Huang Wei|W+R,TRUE,FALSE,2839.842893510454,2957.767851720525,0,1,40,40,2839.842893510454,2943.194938453371,0.3555016904692945,0.6444983095307055,2825.622825891682,2957.4150060721427,1,2
2023-01-05,Yang Zhide,Peng Zunde,W+R,2023-01-05|Yang Zhide|Peng Zunde|W+R,TRUE,FALSE,2894.564462710732,2939.268903163673,0,1,40,40,2894.564462710732,2912.574774401288,0.4741042691758802,0.5258957308241198,2875.600291943697,2931.538945168323,1,2
2023-01-05,Yu Chengrui,Wang Xiangjie,W+R,2023-01-05|Yu Chengrui|Wang Xiangjie|W+R,TRUE,TRUE,2927.048808040231,2950.527860142486,0,0,40,40,2927.048808040231,2950.527860142486,0.46626227014977745,0.5337377298502226,2908.39831723424,2969.178350948477,1,1
2023-01-05,Zhang Huaiyi,Huang Jiayin,W+R,2023-01-05|Zhang Huaiyi|Huang Jiayin|W+R,TRUE,TRUE,2838.255551406995,2877.2734336660724,0,0,40,40,2838.255551406995,2877.2734336660724,0.44408362594930995,0.55591637405069,2820.4922063690224,2895.036778704045,1,1
2023-01-05,Zhang Jiahuan,Huang Youteng,B+R,2023-01-05|Zhang Jiahuan|Huang Youteng|B+R,TRUE,TRUE,3012.3544053757805,2906.9475146053082,0,0,40,40,3012.3544053757805,2906.9475146053082,0.6472038352528621,0.35279616474713793,3026.466251965666,2892.835668015423,1,1
2023-01-05,Zhang Tingwei,Lin Boyu,B+2.5,2023-01-05|Zhang Tingwei|Lin Boyu|B+2.5,FALSE,TRUE,2886.382700825926,2923.9645041229464,1,0,40,40,2873.028610534778,2923.9645041229464,0.4272180479117654,0.5727819520882347,2895.9398886183076,2901.053226039417,2,1
2023-01-06,Bai Xinhui,Xu Yuqi,W+R,2023-01-06|Bai Xinhui|Xu Yuqi|W+R,FALSE,TRUE,2944.8340584170987,2981.480349604775,1,0,40,40,2925.1795045105,2981.480349604775,0.4196784030090247,0.5803215969909753,2908.392368390139,2998.267485725136,2,1
2023-01-06,Cai Chengwei,Su Shengfang,B+R,2023-01-06|Cai Chengwei|Su Shengfang|B+R,TRUE,FALSE,2984.4529305368014,2818.319929325907,0,1,40,40,2984.4529305368014,2845.014058088292,0.6905463286473912,0.3094536713526088,2996.8310773909056,2832.635911234188,1,2
2023-01-06,Chen Weiting,Li Jiaxin,B+R,2023-01-06|Chen Weiting|Li Jiaxin|B+R,FALSE,FALSE,3120.9113144017774,3019.565954699876,1,1,40,40,3132.8345871269266,3030.524867072754,0.6431223753707505,0.35687762462924955,3147.1096921120966,3016.2497620875843,2,2
2023-01-06,Fujisawa Rina,Anzai Nobuaki,B+R,2023-01-06|Fujisawa Rina|Anzai Nobuaki|B+R,TRUE,TRUE,3038.661653580141,3073.8184971852897,0,0,40,40,3038.661653580141,3073.8184971852897,0.4495772159919681,0.5504227840080319,3060.6785649404624,3051.8015858249682,1,1
2023-01-06,Geum Jiwoo,Han Taehee,W+R,2023-01-06|Geum Jiwoo|Han Taehee|W+R,FALSE,TRUE,2940.1487607356844,3084.6953538705475,1,0,40,40,2963.225758278273,3084.6953538705475,0.33198181560833356,0.6680181843916664,2949.94648565394,3097.974626494881,2,1
2023-01-06,Hirose Yuichi,Kwon Hyojin (m),B+R,2023-01-06|Hirose Yuichi|Kwon Hyojin (m)|B+R,TRUE,TRUE,2992.928900289132,2936.035430258994,0,0,40,40,2992.928900289132,2936.035430258994,0.5811522154273994,0.41884778457260063,3009.6828116720358,2919.28151887609,1,1
2023-01-06,Hong Seongji,Sakai Yuki,W+R,2023-01-06|Hong Seongji|Sakai Yuki|W+R,TRUE,TRUE,3115.3970415771823,3056.929362889059,0,0,40,40,3115.3970415771823,3056.929362889059,0.5833563691796128,0.41664363082038725,3092.0627868099978,3080.2636176562437,1,1
2023-01-06,Huang Jiayin,Wang Zhihong,W+R,2023-01-06|Huang Jiayin|Wang Zhihong|W+R,FALSE,TRUE,2877.2734336660724,2919.9379769015272,1,0,40,40,2895.036778704045,2919.9379769015272,0.4642255295043579,0.5357744704956421,2876.4677575238707,2938.5069980817016,2,1
2023-01-06,Huang Xiupu,Huang Shiyuan,W+R,2023-01-06|Huang Xiupu|Huang Shiyuan|W+R,TRUE,TRUE,2872.7793096724404,3067.2798532633674,0,0,40,40,2872.7793096724404,3067.2798532633674,0.24607896934468815,0.7539210306553119,2862.936150898653,3077.1230120371547,1,1
