Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2012-07-08,2012,Norway,Eliteserien,1,Domestic,Odd Grenland,Haugesund,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-07-08,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Molde,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-07-08,2012,Norway,Eliteserien,1,Domestic,Sandnes Ulf,Vålerenga,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-07-08,2012,Norway,Eliteserien,1,Domestic,Stabæk,Strømsgodset,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2012-07-09,2012,Norway,Eliteserien,1,Domestic,Fredrikstad,Lillestrøm,3,4,score,3-4,A,wikipedia,wikipedia,football-data
2012-07-11,2012,Norway,Eliteserien,1,Domestic,Odd Grenland,Vålerenga,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2012-07-13,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Tromsø,4,2,score,4-2,H,wikipedia,wikipedia,football-data
2012-07-14,2012,Norway,Eliteserien,1,Domestic,Vålerenga,Molde,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2012-07-15,2012,Norway,Eliteserien,1,Domestic,Aalesund,Fredrikstad,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2012-07-15,2012,Norway,Eliteserien,1,Domestic,Brann,Odd Grenland,6,2,score,6-2,H,wikipedia,wikipedia,football-data
2012-07-15,2012,Norway,Eliteserien,1,Domestic,Haugesund,Rosenborg,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2012-07-15,2012,Norway,Eliteserien,1,Domestic,Sogndal,Stabæk,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2012-07-15,2012,Norway,Eliteserien,1,Domestic,Viking,Hønefoss BK,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-07-16,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Sandnes Ulf,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-07-20,2012,Norway,Eliteserien,1,Domestic,Haugesund,Sogndal,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-07-21,2012,Norway,Eliteserien,1,Domestic,Molde,Viking,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2012-07-22,2012,Norway,Eliteserien,1,Domestic,Brann,Aalesund,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-07-22,2012,Norway,Eliteserien,1,Domestic,Fredrikstad,Hønefoss BK,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-07-22,2012,Norway,Eliteserien,1,Domestic,Odd Grenland,Strømsgodset,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-07-22,2012,Norway,Eliteserien,1,Domestic,Stabæk,Vålerenga,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2012-07-23,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Lillestrøm,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-07-27,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Fredrikstad,5,0,score,5-0,H,wikipedia,wikipedia,football-data
2012-07-28,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Molde,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-07-29,2012,Norway,Eliteserien,1,Domestic,Aalesund,Stabæk,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2012-07-29,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Haugesund,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2012-07-29,2012,Norway,Eliteserien,1,Domestic,Sogndal,Odd Grenland,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2012-07-29,2012,Norway,Eliteserien,1,Domestic,Tromsø,Rosenborg,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-07-29,2012,Norway,Eliteserien,1,Domestic,Viking,Sandnes Ulf,5,0,fixture_unique,5-0,H,wikipedia,wikipedia,football-data
2012-07-30,2012,Norway,Eliteserien,1,Domestic,Vålerenga,Brann,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-08-03,2012,Norway,Eliteserien,1,Domestic,Haugesund,Vålerenga,4,2,score,4-2,H,wikipedia,wikipedia,football-data
2012-08-04,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Strømsgodset,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-08-04,2012,Norway,Eliteserien,1,Domestic,Molde,Sogndal,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-08-05,2012,Norway,Eliteserien,1,Domestic,Fredrikstad,Tromsø,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-08-05,2012,Norway,Eliteserien,1,Domestic,Odd Grenland,Viking,1,4,score,1-4,A,wikipedia,wikipedia,football-data
2012-08-05,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Aalesund,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2012-08-05,2012,Norway,Eliteserien,1,Domestic,Sandnes Ulf,Lillestrøm,0,1,score,0-1,A,wikipedia,wikipedia,football-data
