Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2020-12-02,2020,Norway,Eliteserien,1,Domestic,Sarpsborg 08,Kristiansund,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-12-02,2020,Norway,Eliteserien,1,Domestic,Stabæk,Vålerenga,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-12-02,2020,Norway,Eliteserien,1,Domestic,Start,Bodø/Glimt,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-12-02,2020,Norway,Eliteserien,1,Domestic,Viking,Brann,2,0,2-0,H,wikipedia,wikipedia,football-data
2020-12-06,2020,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Stabæk,5,2,5-2,H,wikipedia,wikipedia,football-data
2020-12-06,2020,Norway,Eliteserien,1,Domestic,Brann,Sarpsborg 08,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-12-06,2020,Norway,Eliteserien,1,Domestic,Mjøndalen,Start,1,0,1-0,H,wikipedia,wikipedia,football-data
2020-12-06,2020,Norway,Eliteserien,1,Domestic,Molde,Aalesund,2,1,2-1,H,wikipedia,wikipedia,football-data
2020-12-06,2020,Norway,Eliteserien,1,Domestic,Sandefjord,Viking,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-12-06,2020,Norway,Eliteserien,1,Domestic,Strømsgodset,Haugesund,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-12-07,2020,Norway,Eliteserien,1,Domestic,Vålerenga,Rosenborg,1,0,1-0,H,wikipedia,wikipedia,football-data
2020-12-09,2020,Norway,Eliteserien,1,Domestic,Aalesund,Strømsgodset,1,4,1-4,A,wikipedia,wikipedia,football-data
2020-12-09,2020,Norway,Eliteserien,1,Domestic,Haugesund,Bodø/Glimt,0,4,0-4,A,wikipedia,wikipedia,football-data
2020-12-09,2020,Norway,Eliteserien,1,Domestic,Kristiansund,Odd,4,3,4-3,H,wikipedia,wikipedia,football-data
2020-12-09,2020,Norway,Eliteserien,1,Domestic,Sarpsborg 08,Sandefjord,0,0,0-0,D,wikipedia,wikipedia,football-data
2020-12-09,2020,Norway,Eliteserien,1,Domestic,Start,Brann,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-12-10,2020,Norway,Eliteserien,1,Domestic,Rosenborg,Mjøndalen,1,0,1-0,H,wikipedia,wikipedia,football-data
2020-12-10,2020,Norway,Eliteserien,1,Domestic,Viking,Vålerenga,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-12-13,2020,Norway,Eliteserien,1,Domestic,Rosenborg,Molde,3,1,3-1,H,wikipedia,wikipedia,football-data
2020-12-13,2020,Norway,Eliteserien,1,Domestic,Sandefjord,Odd,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-12-13,2020,Norway,Eliteserien,1,Domestic,Stabæk,Kristiansund,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-12-16,2020,Norway,Eliteserien,1,Domestic,Odd,Molde,1,4,1-4,A,wikipedia,wikipedia,football-data
2020-12-19,2020,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Viking,3,0,3-0,H,wikipedia,wikipedia,football-data
2020-12-19,2020,Norway,Eliteserien,1,Domestic,Molde,Sarpsborg 08,5,0,5-0,H,wikipedia,wikipedia,football-data
2020-12-19,2020,Norway,Eliteserien,1,Domestic,Odd,Strømsgodset,1,3,1-3,A,wikipedia,wikipedia,football-data
2020-12-22,2020,Norway,Eliteserien,1,Domestic,Brann,Odd,2,1,2-1,H,wikipedia,wikipedia,football-data
2020-12-22,2020,Norway,Eliteserien,1,Domestic,Kristiansund,Haugesund,1,2,1-2,A,wikipedia,wikipedia,football-data
2020-12-22,2020,Norway,Eliteserien,1,Domestic,Mjøndalen,Aalesund,3,0,3-0,H,wikipedia,wikipedia,football-data
2020-12-22,2020,Norway,Eliteserien,1,Domestic,Sandefjord,Rosenborg,0,0,0-0,D,wikipedia,wikipedia,football-data
2020-12-22,2020,Norway,Eliteserien,1,Domestic,Strømsgodset,Stabæk,0,4,0-4,A,wikipedia,wikipedia,football-data
2020-12-22,2020,Norway,Eliteserien,1,Domestic,Vålerenga,Start,4,0,4-0,H,wikipedia,wikipedia,football-data
