Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2016-09-26,2016,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Djurgårdens IF,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2016-09-26,2016,Sweden,Allsvenskan,1,Domestic,Örebro SK,Gefle IF,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2016-09-30,2016,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,Hammarby IF,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-10-01,2016,Sweden,Allsvenskan,1,Domestic,BK Häcken,Malmö FF,2,4,score,2-4,A,wikipedia,wikipedia,football-data
2016-10-01,2016,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Jönköpings Södra IF,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-10-01,2016,Sweden,Allsvenskan,1,Domestic,Östersunds FK,Falkenbergs FF,6,1,score,6-1,H,wikipedia,wikipedia,football-data
2016-10-02,2016,Sweden,Allsvenskan,1,Domestic,AIK,IFK Norrköping,6,0,score,6-0,H,wikipedia,wikipedia,football-data
2016-10-02,2016,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Örebro SK,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2016-10-02,2016,Sweden,Allsvenskan,1,Domestic,Gefle IF,IF Elfsborg,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2016-10-02,2016,Sweden,Allsvenskan,1,Domestic,Kalmar FF,IFK Göteborg,4,2,score,4-2,H,wikipedia,wikipedia,football-data
2016-10-15,2016,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,GIF Sundsvall,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-10-16,2016,Sweden,Allsvenskan,1,Domestic,AIK,Östersunds FK,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2016-10-16,2016,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Helsingborgs IF,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-10-16,2016,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Malmö FF,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2016-10-16,2016,Sweden,Allsvenskan,1,Domestic,Jönköpings Södra IF,BK Häcken,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-10-16,2016,Sweden,Allsvenskan,1,Domestic,Örebro SK,Kalmar FF,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-10-17,2016,Sweden,Allsvenskan,1,Domestic,Hammarby IF,Djurgårdens IF,4,2,score,4-2,H,wikipedia,wikipedia,football-data
2016-10-17,2016,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Gefle IF,3,3,score,3-3,D,wikipedia,wikipedia,football-data
2016-10-21,2016,Sweden,Allsvenskan,1,Domestic,Gefle IF,GIF Sundsvall,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-10-22,2016,Sweden,Allsvenskan,1,Domestic,Malmö FF,Östersunds FK,0,3,score,0-3,A,wikipedia,wikipedia,football-data
2016-10-23,2016,Sweden,Allsvenskan,1,Domestic,BK Häcken,Kalmar FF,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2016-10-23,2016,Sweden,Allsvenskan,1,Domestic,Hammarby IF,IF Elfsborg,2,4,score,2-4,A,wikipedia,wikipedia,football-data
2016-10-23,2016,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Falkenbergs FF,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-10-23,2016,Sweden,Allsvenskan,1,Domestic,Örebro SK,Helsingborgs IF,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2016-10-24,2016,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Jönköpings Södra IF,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2016-10-24,2016,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,AIK,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-10-26,2016,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,Malmö FF,0,3,score,0-3,A,wikipedia,wikipedia,football-data
