MatchID,EventID,EventName,EventSeason,EventStartDate,EventEndDate,PlayerA_ID,PlayerB_ID,ScoreA,ScoreB,WinnerID,MatchDate,SourceFile
8756504,2037,Classic,1988,1989-01-01,1989-01-15,470,3484,5,3,470,2024-06-10T12:28:40Z,matches_1988_event_2037.csv
8756505,2037,Classic,1988,1989-01-01,1989-01-15,795,153,1,5,153,2024-06-10T12:28:40Z,matches_1988_event_2037.csv
8756506,2037,Classic,1988,1989-01-01,1989-01-15,3261,469,5,3,3261,2024-06-10T12:28:40Z,matches_1988_event_2037.csv
8756507,2037,Classic,1988,1989-01-01,1989-01-15,2184,2877,5,1,2184,2024-06-10T12:28:40Z,matches_1988_event_2037.csv
8756508,2037,Classic,1988,1989-01-01,1989-01-15,408,2879,5,1,408,2024-06-10T12:28:40Z,matches_1988_event_2037.csv
8756509,2037,Classic,1988,1989-01-01,1989-01-15,452,800,3,5,800,2024-06-10T12:28:40Z,matches_1988_event_2037.csv
8756510,2037,Classic,1988,1989-01-01,1989-01-15,3501,806,3,5,806,2024-06-10T12:29:48Z,matches_1988_event_2037.csv
8756511,2037,Classic,1988,1989-01-01,1989-01-15,470,153,5,4,470,2024-06-10T12:29:48Z,matches_1988_event_2037.csv
8756512,2037,Classic,1988,1989-01-01,1989-01-15,3261,2184,4,5,2184,2024-06-10T12:29:48Z,matches_1988_event_2037.csv
8756513,2037,Classic,1988,1989-01-01,1989-01-15,408,800,4,5,800,2024-06-10T12:29:48Z,matches_1988_event_2037.csv
8756516,2037,Classic,1988,1989-01-01,1989-01-15,806,470,9,5,806,2024-06-10T12:30:59Z,matches_1988_event_2037.csv
8756517,2037,Classic,1988,1989-01-01,1989-01-15,2184,800,4,9,800,2024-06-10T12:30:59Z,matches_1988_event_2037.csv
8759809,2037,Classic,1988,1989-01-01,1989-01-15,806,800,13,11,806,2024-06-10T12:31:53Z,matches_1988_event_2037.csv
8770288,2059,Grand Prix,1988,1988-10-10,1988-10-23,3495,3748,5,0,3495,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770289,2059,Grand Prix,1988,1988-10-10,1988-10-23,3481,4303,5,3,3481,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770290,2059,Grand Prix,1988,1988-10-10,1988-10-23,669,4275,5,2,669,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770291,2059,Grand Prix,1988,1988-10-10,1988-10-23,3514,3705,5,1,3514,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770292,2059,Grand Prix,1988,1988-10-10,1988-10-23,504,3398,5,3,504,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770293,2059,Grand Prix,1988,1988-10-10,1988-10-23,710,3756,5,4,710,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
