PlayerID,PlayerName,Nationality,GamesUsed,FramesUsed,FramesWon,FrameRate,BaselineStart,RetroStart,RetroAdjustment
1479,Chang Yu Kiu,Hong Kong,39,203,103,0.507389162561576,2600,2651.92771852242,51.9277185224214
96,Robbie Williams,England,37,205,105,0.51219512195122,2600,2651.32336694362,51.3233669436204
917,Rhys Clark,Scotland,37,207,103,0.497584541062802,2600,2651.12303214154,51.1230321415396
492,Stefan Mazrocis,England,14,216,116,0.537037037037037,2600,2650.99641937066,50.996419370656
2931,Haris Tahir,Pakistan,30,201,82,0.407960199004975,2600,2650.81551331506,50.815513315059
1111,Wang Zepeng,China,36,201,99,0.492537313432836,2600,2650.50522868648,50.505228686478
3063,Oliver Briffett-Payne,Wales,44,206,106,0.514563106796117,2600,2650.48773781823,50.4877378182277
27,Martin Gould,England,16,205,106,0.517073170731707,2600,2650.46999447596,50.4699944759564
28,Mark King,England,16,211,108,0.511848341232227,2600,2650.41419841964,50.4141984196408
1322,Michael Williams,England,40,200,104,0.52,2600,2650.3640907515,50.364090751495
2982,Jack Borwick,Scotland,46,201,105,0.522388059701493,2600,2650.32900600761,50.3290060076047
2369,Cheung Yee Ting,Hong Kong,57,201,104,0.517412935323383,2600,2650.20641566625,50.2064156662468
38,Gerard Greene,Northern Ireland,18,203,102,0.502463054187192,2600,2650.07103492475,50.0710349247515
954,Wang Yuchen,Hong Kong,35,205,97,0.473170731707317,2600,2649.9545639751,49.9545639751009
1298,Peter Francisco,South Africa,26,204,103,0.504901960784314,2600,2649.59525246321,49.5952524632089
973,Shachar Ruberg,Israel,32,203,97,0.477832512315271,2600,2649.55133747407,49.5513374740681
608,Elliot Slessor,England,36,203,102,0.502463054187192,2600,2649.25435645576,49.2543564557573
80,Sam Thistlewhite,England,38,203,104,0.512315270935961,2600,2649.24680313762,49.2468031376161
2975,Ayaan Iqbal,Scotland,51,202,108,0.534653465346535,2600,2649.00624197084,49.0062419708374
582,Dechawat Poomjaeng,Thailand,31,200,92,0.46,2600,2648.83399368852,48.8339936885191
99,Lee Spick,England,14,203,109,0.536945812807882,2600,2648.63395658008,48.6339565800772
104,Adam Stefanow,Poland,39,200,102,0.51,2600,2648.38416618513,48.3841661851288
181,Tony Knowles,England,13,202,112,0.554455445544555,2600,2648.13766805974,48.1376680597432
1082,Lukas Kleckers,Germany,36,203,102,0.502463054187192,2600,2647.97007893496,47.9700789349554
534,Fraser Patrick,Scotland,31,204,108,0.529411764705882,2600,2647.68095347017,47.680953470172
469,Joe Johnson,England,24,207,110,0.531400966183575,2600,2647.32423272239,47.3242327223916
10,Jamie Jones,Wales,27,200,99,0.495,2600,2647.15349923732,47.1534992373245
