name,rating,games,last_historical_game
Arai Kanta,3092.9194161649148,8,2025-10-06
Arai Kazutoyo,3106.893226536016,2,1986-10-20
Arai Kiyoshi,3096.4988253746988,4,1980-10-12
Arai Miyu,3057.0994247139415,11,2019-03-14
Arai Naoko,3099,1,2002-03-17
Arai Saeko,3102.1797638395988,2,2002-08-24
Arakawa Juichi,3098.3935173421296,4,1980-10-12
Arakawa Kazuko,3098.676114220732,7,1972-04-05
Arakawa Shotaro,3099.1687754044906,1,2009-11-29
Araki Issei,3037.050907689443,13,2022-09-05
Araki Masako,3038.14179885978,19,2016-03-31
Aramura Shoji,3099.246553948376,1,2004-02-15
Argyris Fellas,3096.3655614231234,2,2013-09-02
Ariane Ougier,3041.8123537511715,6,2023-06-09
Arikado Toshiyuki,3101.8812501671405,2,2003-08-01
Arimitsu Mitsuyoshi,3099,1,1983-09-01
Arimura Hiroshi,3035.0247366856433,71,2024-04-04
Arita Benzaburo,3099,1,1936-01-03
Aritomi Yoshihiro,3099,1,1979-11-25
Ariyoshi Etsuo,3099,1,1996-10-06
Armel David Wolff,3080.511881391855,4,2016-06-07
Armel-David (Gerard) Wolff,3101,1,2024-05-22
Arne Steen Ohlenbusch,3099.173479916488,1,2014-07-06
Artem Dugin,3081.8190754616357,1,2004-12-19
Artem Kachanovskyi,3086.5015312371147,12,2019-11-03
Artem Kachanovskyy,3083.6786887434364,39,2020-01-18
Arun Sagar,3099.0086263386493,3,1999-06-10
Asa Takumi,3062.9922287309023,9,2016-02-22
Asahi Yujun,3067.0664394599057,10,2025-10-23
Asai Hideki,3100.3171438597774,4,2003-10-12
Asai Hidetoshi,3099,1,1933-11-20
Asai Takahiro,3097.468852923814,1,1986-12-21
Asakawa Hiroyuki,3097.6279438308266,2,1980-10-12
Asami Shigeyuki,3101,1,2001-10-01
Asano Hideaki,3007.1633927648913,15,2005-02-21
Asano Kohei,3099,1,2005-05-15
Asano Manzo,3103.395470717396,1,1990-09-18
Asano Mitsuyuki,3101,1,1991-02-12
Asano Mitsuzo,3096.4989663895717,2,1980-10-12
Asano Sachiyo,3095.6635933974876,2,1992-03-10
Asano Tetsuya,3100.3988758236032,8,2017-02-20
Asano Tokihide,3096.6788018225766,1,2005-03-16
Asano Yasuko,3003.748672587274,30,2015-12-24
Ashiba Katsumi,3098.241794723812,1,1937-11-21
Ashida Isoko,2943.1644828051235,58,2016-04-28
Ashidate Fumiaki,3100.3879438308263,2,1999-03-01
Ashikari Sakae,3099.0057728960055,5,2001-04-01
Ashimori Shota,3101,1,2006-09-10
Ashiya Shingo,3099,1,1938-07-09
Asmad Bin,3099.6214935675284,2,2013-09-02
Aso Hisaya,3099,1,1974-03-05
Aso Minoru,3101,1,1974-03-05
Aso Yoshinobu,3098.6239719483174,1,1983-01-04
Atsuya Teiji,3104.275557955933,4,1980-10-12
Audris Kuras,3099,1,2006-05-28
Awaji Shuzo,3190.657312163848,473,2025-05-08
Awaya Koji,3104.348440710883,5,2003-12-01
Aygul Nureyeva,3098.517141321927,1,2008-10-12
Azuma Michihiko,3093.3855496361975,1,1968-02-13
B. Soloviev,3101,1,1987-11-12
Baba Jiyumi,3101.348188436992,1,1994-12-12
Baba Shigeru,2967.774079449132,42,2019-11-28
Baba Tomomi,3081.9460275989554,7,2013-02-18
Bae Junhee,3190.4105614334085,45,2011-05-20
Bae Sangyeon,3102.1593711455293,1,1959-10-02
Bae Teokhan,3107.7340381450113,1,2008-11-01
Bae Youngsoo,3099,1,1995-11-12
Bae Yunjin,3062.3181899960496,6,2005-06-14
Baek Chanhee,3181.872858125913,21,2025-06-23
Baek Heungsoo,3064.0973859493424,6,1974-08-29
Baek Hongseok,3286.4730073620512,408,2025-03-22
Baek Hyeonwoo,3290.70641607439,67,2025-07-27
Baek Jiheui,3072.688289456252,4,2012-10-18
Baek Kwangmyeon,3093.111759814855,5,1979-03-17
Baek Seongho,3037.0825499775856,240,2023-11-14
Baek Taehyun,3136.7702725532276,97,2024-08-19
Baek Unki,3101,1,2019-02-20
Baek Yeocheong,3012.9730576588395,11,2025-11-09
Baek Yutae,3093.518155960088,1,1972-06-04
Bahadur Tahirbayov,3084.9608368564936,2,2015-06-07
Bai Baoxiang,3243.4715419164504,73,2025-07-05
Bai Guangyuan,3099.940560541556,7,2013-07-23
Bai Xinhui,2924.784418163976,129,2025-12-08
Bai Xinyi,3072.3171054740683,2,2019-09-17
Bai Yulin,3101.911717743241,1,2013-06-04
Bai Yuxiang,3113.8915145462715,2,2011-01-15
Bao Yun,3128.542964790758,4,2016-08-01
Barbara Knauf,3073.204091936223,1,2008-10-05
Barry Phease,3095.3741903578907,8,1992-05-29
Battulga Byambaakhuu,3088.6872868522887,3,2016-06-08
Beck June Ki,3101,1,1993-05-27
Bee Giok Tan,3099.758204970445,5,1992-05-30
Bei Ge,3113.814986541042,6,2007-09-15
Benjamin DreanGuenaizia,3086.0362835224337,6,2025-05-21
Benjamin Gigot,3099,1,2008-10-04
Benjamin Lockhart,3082.2208458427426,10,2016-06-08
Benjamin Papazoglou,3060.013652852659,3,2015-06-08
Benjamin Teuber,3066.4369411807807,11,2017-06-15
Bernard Helmstetter,3101.7649736216354,4,2004-08-29
Bernd Radmacher,3095.2204152471086,1,2008-10-09
Bernd Wolter,3092.068865855536,3,1980-05-25
Bernhard Scheid,3105.4912529810435,3,2010-05-26
Bertan Bilen,3100.754948906843,2,2013-09-03
Bi Wei,3101,1,1993-09-12
