Date,RSSSFHome,RSSSFAway,RSSSFScore,HomeCanon,AwayCanon,MatchKey
2026-04-18,Kolos,LNZ,1-0,kolos_kovalivka,lnz_cherkasy,kolos_kovalivka|||lnz_cherkasy|||1-0
2026-04-18,Metalist'25,Kudrivka,1-0,metalist_1925,kudrivka,metalist_1925|||kudrivka|||1-0
2026-04-19,Epicenter,Karpaty,0-0,epicenter,karpaty_lviv,epicenter|||karpaty_lviv|||0-0
2026-04-20,Sachtar,Polissja,1-0,shakhtar_donetsk,polissya_zhytomyr,shakhtar_donetsk|||polissya_zhytomyr|||1-0
2026-04-20,Olexandrija,Veres,0-3,oleksandriya,veres_rivne,oleksandriya|||veres_rivne|||0-3
2026-04-24,Kolos,Poltava,2-0,kolos_kovalivka,sc_poltava,kolos_kovalivka|||sc_poltava|||2-0
2026-04-26,Kudrivka,Sachtar,1-3,kudrivka,shakhtar_donetsk,kudrivka|||shakhtar_donetsk|||1-3
2026-04-26,LNZ,Metalist'25,1-1,lnz_cherkasy,metalist_1925,lnz_cherkasy|||metalist_1925|||1-1
2026-04-26,Polissja,Obolon,3-1,polissya_zhytomyr,obolon_kyiv,polissya_zhytomyr|||obolon_kyiv|||3-1
2026-04-26,Kryvbas,Dynamo,5-6,kryvbas_kryvyi_rih,dynamo_kyiv,kryvbas_kryvyi_rih|||dynamo_kyiv|||5-6
2026-04-27,Zorja,Veres,2-0,zorya_luhansk,veres_rivne,zorya_luhansk|||veres_rivne|||2-0
2026-04-27,Epicenter,Olexandrija,1-1,epicenter,oleksandriya,epicenter|||oleksandriya|||1-1
2026-05-01,Poltava,Kryvbas,3-3,sc_poltava,kryvbas_kryvyi_rih,sc_poltava|||kryvbas_kryvyi_rih|||3-3
2026-05-02,Karpaty,LNZ,0-0,karpaty_lviv,lnz_cherkasy,karpaty_lviv|||lnz_cherkasy|||0-0
2026-05-02,Olexandrija,Kolos,0-3,oleksandriya,kolos_kovalivka,oleksandriya|||kolos_kovalivka|||0-3
2026-05-02,Veres,Epicenter,3-3,veres_rivne,epicenter,veres_rivne|||epicenter|||3-3
2026-05-03,Dynamo,Sachtar,1-2,dynamo_kyiv,shakhtar_donetsk,dynamo_kyiv|||shakhtar_donetsk|||1-2
2026-05-03,Metalist'25,Polissja,0-1,metalist_1925,polissya_zhytomyr,metalist_1925|||polissya_zhytomyr|||0-1
