Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,ParsedDate,HomeKey,AwayKey,MatchKey,Occurrence,FDID
Romania,Superliga,2017/2018,28/07/2017,19:00,Concordia,Poli Iasi,0,1,A,1.93,3.31,4.8,1.98,3.31,4.8,1.91,3.11,4.23,,,,,,,2017-07-28,concordia,politehnica_iasi,concordia|||politehnica_iasi|||0|||1,1,16
Romania,Superliga,2017/2018,29/07/2017,16:30,Daco-Getica Bucuresti,FC Voluntari,0,0,D,3.28,3.34,2.35,3.6,3.34,2.36,3.12,3.15,2.26,,,,,,,2017-07-29,daco getica bucuresti,fc voluntari,daco getica bucuresti|||fc voluntari|||0|||0,1,17
Romania,Superliga,2017/2018,30/07/2017,16:00,Viitorul Constanta,Din. Bucuresti,0,1,A,2.66,3.2,2.92,2.81,3.2,3.18,2.53,3.07,2.76,,,,,,,2017-07-30,viitorul constanta,din bucuresti,viitorul constanta|||din bucuresti|||0|||1,1,19
Romania,Superliga,2017/2018,31/07/2017,19:00,Astra,Poli Timisoara,3,0,H,2.15,3.34,3.78,2.15,3.4,3.89,2.09,3.16,3.48,,,,,,,2017-07-31,astra,poli timisoara,astra|||poli timisoara|||3|||0,1,21
Romania,Superliga,2017/2018,04/08/2017,16:30,Poli Timisoara,Daco-Getica Bucuresti,2,1,H,1.96,3.52,4.23,2.02,3.61,5.1,1.84,3.36,4.19,,,,,,,2017-08-04,poli timisoara,daco getica bucuresti,poli timisoara|||daco getica bucuresti|||2|||1,1,22
Romania,Superliga,2017/2018,04/08/2017,19:00,FC Voluntari,FC Botosani,1,3,A,2.36,3.32,3.29,2.43,3.32,3.32,2.28,3.16,3.06,,,,,,,2017-08-04,fc voluntari,fc botosani,fc voluntari|||fc botosani|||1|||3,1,23
Romania,Superliga,2017/2018,06/08/2017,16:30,U Craiova,Astra,1,1,D,1.82,3.42,5.32,1.94,3.42,5.32,1.82,3.22,4.58,,,,,,,2017-08-06,universitatea_craiova,astra,universitatea_craiova|||astra|||1|||1,1,26
Romania,Superliga,2017/2018,06/08/2017,19:00,Concordia,FCSB,1,2,A,7.24,3.9,1.57,7.5,4.05,1.65,5.99,3.65,1.57,,,,,,,2017-08-06,concordia,fcsb,concordia|||fcsb|||1|||2,1,27
Romania,Superliga,2017/2018,07/08/2017,19:00,Din. Bucuresti,Gaz Metan Medias,3,1,H,1.34,5.16,11.33,1.38,5.4,12.5,1.31,4.65,10.13,,,,,,,2017-08-07,din bucuresti,gaz metan medias,din bucuresti|||gaz metan medias|||3|||1,1,28
Romania,Superliga,2017/2018,08/08/2017,14:45,FC Botosani,Poli Timisoara,1,0,H,1.92,3.47,4.56,1.92,3.58,4.75,1.88,3.31,4.08,,,,,,,2017-08-08,fc botosani,poli timisoara,fc botosani|||poli timisoara|||1|||0,1,29
