"home","away","date","gh","ga","competition","level","Country"
"Athletic Running Bruxelles","K Beerschot Vac",1900-11-04,3,1,"belgium","national","Belgium"
"Cercle Brugge","Club Brugge",1900-11-04,0,0,"belgium","national","Belgium"
"RCS Vervietois","RFC De Liege",1900-11-04,2,1,"belgium","national","Belgium"
"Royal Leopold Uccle FC","Skill Bruxelles",1900-11-04,3,1,"belgium","national","Belgium"
"Austria Wien","FC Wien",1945-09-01,10,2,"austria","national","Austria"
"SC Rapid Oberlaa","Sportclub",1945-09-01,0,7,"austria","national","Austria"
"Favoritner AC","SPC Helfort 15",1945-09-02,4,1,"austria","national","Austria"
"SC Ostbahn XI","Rapid",1945-09-02,1,9,"austria","national","Austria"
"SC Wacker Wien","SK Admira Vienna",1945-09-02,2,0,"austria","national","Austria"
"Wiener AC","First Vienna FC",1945-09-02,4,2,"austria","national","Austria"
"SPC Helfort 15","SC Ostbahn XI",1945-09-08,2,1,"austria","national","Austria"
"FC Wien","Favoritner AC",1945-09-09,3,3,"austria","national","Austria"
"First Vienna FC","SK Admira Vienna",1945-09-09,2,1,"austria","national","Austria"
"Rapid","Wiener AC",1945-09-09,4,1,"austria","national","Austria"
"SC Wacker Wien","SC Rapid Oberlaa",1945-09-09,4,2,"austria","national","Austria"
"Sportclub","Austria Wien",1945-09-09,2,2,"austria","national","Austria"
"Altay Izmir","Beşiktaş",1959-02-21,1,2,"turkey","national","Turkey"
"Ankara Demirspor","Galatasaray",1959-02-21,0,2,"turkey","national","Turkey"
"Fenerbahçe","Mke Ankaraguecue",1959-02-21,3,1,"turkey","national","Turkey"
"Genclerbirligi","Adalet Istanbul",1959-02-21,1,1,"turkey","national","Turkey"
"Istanbulspor","Kecioerenguecue",1959-02-21,0,2,"turkey","national","Turkey"
"Izmirspor","Beykozspor",1959-02-21,2,1,"turkey","national","Turkey"
"Altay Izmir","Beykozspor",1959-02-22,2,2,"turkey","national","Turkey"
"Ankara Demirspor","Adalet Istanbul",1959-02-22,2,0,"turkey","national","Turkey"
"Fenerbahçe","Kecioerenguecue",1959-02-22,2,1,"turkey","national","Turkey"
"Genclerbirligi","Galatasaray",1959-02-22,0,0,"turkey","national","Turkey"
"Istanbulspor","Mke Ankaraguecue",1959-02-22,1,1,"turkey","national","Turkey"
"Izmirspor","Beşiktaş",1959-02-22,1,1,"turkey","national","Turkey"
"Cambuslang FC","Vale Of Leven",1890-08-16,8,2,"scotland","national","Scotland"
"Dumbarton FC","Cowlairs FC",1890-08-16,1,1,"scotland","national","Scotland"
"Rangers","Hearts",1890-08-16,5,2,"scotland","national","Scotland"
"Cambuslang FC","Rangers",1890-08-23,2,6,"scotland","national","Scotland"
"Cowlairs FC","Vale Of Leven",1890-08-23,3,2,"scotland","national","Scotland"
"Hearts","Celtic",1890-08-23,0,5,"scotland","national","Scotland"
"Third Lanark","Dumbarton FC",1890-08-23,1,3,"scotland","national","Scotland"
"Celtic","Cambuslang FC",1890-08-30,5,2,"scotland","national","Scotland"
"Dumbarton FC","Hearts",1890-08-30,3,1,"scotland","national","Scotland"
"St. Mirren","Cowlairs FC",1890-08-30,5,2,"scotland","national","Scotland"
"Vale Of Leven","Abercorn FC",1890-08-30,2,1,"scotland","national","Scotland"
"Cambuslang FC","St. Mirren",1890-09-13,3,2,"scotland","national","Scotland"
"Blue Stars Zürich","St.Gallen",1920-09-26,0,7,"switzerland","national","Switzerland"
"Brühl St.Gallen","Grasshoppers",1920-09-26,0,3,"switzerland","national","Switzerland"
"Winterthur","FC Neumünster",1920-09-26,6,0,"switzerland","national","Switzerland"
"Blue Stars Zürich","FC Neumünster",1920-10-03,1,1,"switzerland","national","Switzerland"
"Brühl St.Gallen","Zürich",1920-10-03,3,2,"switzerland","national","Switzerland"
"Grasshoppers","St.Gallen",1920-10-03,2,1,"switzerland","national","Switzerland"
"Winterthur","Juventus Zürich",1920-10-03,4,2,"switzerland","national","Switzerland"
"FC Neumünster","Grasshoppers",1920-10-10,1,1,"switzerland","national","Switzerland"
"St.Gallen","Brühl St.Gallen",1920-10-10,1,0,"switzerland","national","Switzerland"
"Zürich","Winterthur",1920-10-10,4,1,"switzerland","national","Switzerland"
"Blue Stars Zürich","Grasshoppers",1920-10-17,1,4,"switzerland","national","Switzerland"
"Brühl St.Gallen","Winterthur",1920-10-17,1,2,"switzerland","national","Switzerland"
"Ae Larisa","Olympiakos Piraeus",1987-09-06,3,1,"greece","national","Greece"
"Aep Iraklis FC","Panionios Gss",1987-09-06,0,3,"greece","national","Greece"
"Diagoras GS Rodos","Aris",1987-09-06,1,3,"greece","national","Greece"
"OFI","Panachaiki Ge",1987-09-06,5,1,"greece","national","Greece"
"Pae Ethnikos Pireaus","Veria FC",1987-09-06,1,0,"greece","national","Greece"
"Panathinaikos","Levadiakos",1987-09-06,2,1,"greece","national","Greece"
"Panserraikos","Apollon Kalamarias",1987-09-06,3,0,"greece","national","Greece"
"PAOK","AEK Athens",1987-09-06,2,2,"greece","national","Greece"
"Apollon Kalamarias","Panathinaikos",1987-09-13,1,0,"greece","national","Greece"
"Aris","OFI",1987-09-13,3,1,"greece","national","Greece"
"Diagoras GS Rodos","Panserraikos",1987-09-13,0,2,"greece","national","Greece"
"Levadiakos","Pae Ethnikos Pireaus",1987-09-13,0,2,"greece","national","Greece"
"Baník Ostrava","Hradec Králové",1993-08-14,3,0,"czech-republic","national","Czechia"
"Slovan Liberec","Viktoria Zizkov",1993-08-14,0,0,"czech-republic","national","Czechia"
"Sparta Praha","FC Zbrojovka Brno",1993-08-14,5,1,"czech-republic","national","Czechia"
"Viktoria Plzeň","Slavia Praha",1993-08-14,0,2,"czech-republic","national","Czechia"
"1 FK Drnovice","Hvzda Cheb",1993-08-15,2,1,"czech-republic","national","Czechia"
"Bohemians 1905","Sigma Olomouc",1993-08-15,2,1,"czech-republic","national","Czechia"
"České Budějovice","FC Vitkovice",1993-08-15,1,0,"czech-republic","national","Czechia"
"FC Fastav Zlin","1 FK Pribram",1993-08-15,3,0,"czech-republic","national","Czechia"
"FC Zbrojovka Brno","1 FK Drnovice",1993-08-20,1,2,"czech-republic","national","Czechia"
"1 FK Pribram","Bohemians 1905",1993-08-21,1,2,"czech-republic","national","Czechia"
"Slovan Liberec","Viktoria Plzeň",1993-08-21,0,0,"czech-republic","national","Czechia"
"FC Vitkovice","FC Fastav Zlin",1993-08-22,3,2,"czech-republic","national","Czechia"
"Chornomorets","Karpaty Lviv",1992-03-06,2,2,"ukraine","national","Ukraine"
"MFK Mikolaiv","Temp Shepetivka",1992-03-06,1,0,"ukraine","national","Ukraine"
"Dnipro Dnipropetrovsk","Zorya",1992-03-07,2,0,"ukraine","national","Ukraine"
"Dynamo Kyiv","Metalist Kharkov",1992-03-07,2,1,"ukraine","national","Ukraine"
"FK Bukovina","Niva Ternopil",1992-03-07,2,1,"ukraine","national","Ukraine"
"FK Kremin","PFK Niva Vinnitsa",1992-03-07,1,0,"ukraine","national","Ukraine"
"Metalurg Zaporizhya","Shakhtar Donetsk",1992-03-07,1,1,"ukraine","national","Ukraine"
"Sk Odessa","Naftovik Ukrnafta",1992-03-07,0,1,"ukraine","national","Ukraine"
"Spartak Ivano Frankivsk","Volyn Lutsk",1992-03-07,0,0,"ukraine","national","Ukraine"
"Tavriya Simferopol","Torpedo Zaporizhya",1992-03-07,2,0,"ukraine","national","Ukraine"
"Chornomorets","Temp Shepetivka",1992-03-09,3,1,"ukraine","national","Ukraine"
"MFK Mikolaiv","Karpaty Lviv",1992-03-09,1,1,"ukraine","national","Ukraine"
