Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource,DateMatchMethod
2023-08-27,2023,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,Hammarby,0,3,0-3,A,wikipedia,wikipedia,football-data,
2023-08-28,2023,Sweden,Allsvenskan,1,Domestic,AIK,Varbergs BoIS,3,0,3-0,H,wikipedia,wikipedia,football-data,
2023-08-28,2023,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,IFK Norrköping,3,2,3-2,H,wikipedia,wikipedia,football-data,
2023-08-28,2023,Sweden,Allsvenskan,1,Domestic,IK Sirius,Malmö FF,1,3,1-3,A,wikipedia,wikipedia,football-data,
2023-09-02,2023,Sweden,Allsvenskan,1,Domestic,Halmstads BK,IK Sirius,2,1,2-1,H,wikipedia,wikipedia,football-data,
2023-09-02,2023,Sweden,Allsvenskan,1,Domestic,IFK Värnamo,IF Elfsborg,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-09-03,2023,Sweden,Allsvenskan,1,Domestic,Degerfors IF,BK Häcken,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-09-03,2023,Sweden,Allsvenskan,1,Domestic,Hammarby,AIK,4,2,4-2,H,wikipedia,wikipedia,football-data,
2023-09-03,2023,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Djurgårdens IF,0,2,0-2,A,wikipedia,wikipedia,football-data,
2023-09-03,2023,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Mjällby AIF,0,2,0-2,A,wikipedia,wikipedia,football-data,
2023-09-03,2023,Sweden,Allsvenskan,1,Domestic,Malmö FF,IFK Göteborg,2,2,2-2,D,wikipedia,wikipedia,football-data,
2023-09-03,2023,Sweden,Allsvenskan,1,Domestic,Varbergs BoIS,IF Brommapojkarna,4,3,4-3,H,wikipedia,wikipedia,football-data,
2023-09-16,2023,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,IFK Värnamo,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-09-16,2023,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,IF Brommapojkarna,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-09-16,2023,Sweden,Allsvenskan,1,Domestic,IK Sirius,Varbergs BoIS,7,0,7-0,H,wikipedia,wikipedia,football-data,
2023-09-17,2023,Sweden,Allsvenskan,1,Domestic,BK Häcken,Halmstads BK,3,2,3-2,H,wikipedia,wikipedia,football-data,
2023-09-17,2023,Sweden,Allsvenskan,1,Domestic,Hammarby,Malmö FF,1,3,1-3,A,wikipedia,wikipedia,football-data,
