Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2020-07-11,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Academica Clinceni,5,0,score,5-0,H,wikipedia,wikipedia,football-data
2020-07-12,2019/20,Romania,SuperLiga,1,Domestic,Dinamo București,Politehnica Iași,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2020-07-12,2019/20,Romania,SuperLiga,1,Domestic,Universitatea Craiova,FCSB,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-07-13,2019/20,Romania,SuperLiga,1,Domestic,CFR Cluj,Gaz Metan Mediaș,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2020-07-13,2019/20,Romania,SuperLiga,1,Domestic,Sepsi OSK,Chindia Târgoviște,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2020-07-17,2019/20,Romania,SuperLiga,1,Domestic,Academica Clinceni,Voluntari,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-07-17,2019/20,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Astra Giurgiu,0,4,score,0-4,A,wikipedia,wikipedia,football-data
2020-07-18,2019/20,Romania,SuperLiga,1,Domestic,Hermannstadt,Sepsi OSK,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2020-07-19,2019/20,Romania,SuperLiga,1,Domestic,Botoșani,Universitatea Craiova,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2020-07-20,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Viitorul Constanța,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2020-07-25,2019/20,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,FCSB,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2020-07-25,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Chindia Târgoviște,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2020-07-26,2019/20,Romania,SuperLiga,1,Domestic,Academica Clinceni,Politehnica Iași,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2020-07-26,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,Sepsi OSK,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2020-07-28,2019/20,Romania,SuperLiga,1,Domestic,CFR Cluj,Botoșani,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-07-29,2019/20,Romania,SuperLiga,1,Domestic,Chindia Târgoviște,Academica Clinceni,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2020-07-29,2019/20,Romania,SuperLiga,1,Domestic,Hermannstadt,Viitorul Constanța,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2020-07-30,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Voluntari,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-07-31,2019/20,Romania,SuperLiga,1,Domestic,FCSB,CFR Cluj,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2020-08-01,2019/20,Romania,SuperLiga,1,Domestic,Academica Clinceni,Hermannstadt,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2020-08-01,2019/20,Romania,SuperLiga,1,Domestic,Botoșani,Gaz Metan Mediaș,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2020-08-01,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Sepsi OSK,0,3,score,0-3,A,wikipedia,wikipedia,football-data
2020-08-02,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Chindia Târgoviște,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-08-02,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,Dinamo București,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2020-08-03,2019/20,Romania,SuperLiga,1,Domestic,Universitatea Craiova,CFR Cluj,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2020-08-05,2019/20,Romania,SuperLiga,1,Domestic,Chindia Târgoviște,Voluntari,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2020-08-05,2019/20,Romania,SuperLiga,1,Domestic,Dinamo București,Viitorul Constanța,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2020-08-05,2019/20,Romania,SuperLiga,1,Domestic,Hermannstadt,Politehnica Iași,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2020-08-05,2019/20,Romania,SuperLiga,1,Domestic,Sepsi OSK,Academica Clinceni,1,0,score,1-0,H,wikipedia,wikipedia,football-data
