Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2015-04-12,2014/15,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Steaua București,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-04-12,2014/15,Romania,SuperLiga,1,Domestic,Brașov,Botoșani,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-04-13,2014/15,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,Gaz Metan Mediaș,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-04-13,2014/15,Romania,SuperLiga,1,Domestic,Oțelul Galați,Pandurii Târgu Jiu,0,2,0-2,A,wikipedia,wikipedia,football-data
2015-04-13,2014/15,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,Viitorul Constanța,1,2,1-2,A,wikipedia,wikipedia,football-data
2015-04-17,2014/15,Romania,SuperLiga,1,Domestic,CFR Cluj,Târgu Mureș,2,2,2-2,D,wikipedia,wikipedia,football-data
2015-04-17,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,Brașov,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-04-18,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,Ceahlăul Piatra Neamț,2,0,2-0,H,wikipedia,wikipedia,football-data
2015-04-18,2014/15,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Petrolul Ploiești,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-04-18,2014/15,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Astra Giurgiu,2,0,2-0,H,wikipedia,wikipedia,football-data
2015-04-19,2014/15,Romania,SuperLiga,1,Domestic,Steaua București,Oțelul Galați,1,2,1-2,A,wikipedia,wikipedia,football-data
2015-04-19,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Dinamo București,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-04-20,2014/15,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Universitatea Cluj,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-04-20,2014/15,Romania,SuperLiga,1,Domestic,Rapid București,Concordia Chiajna,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-04-24,2014/15,Romania,SuperLiga,1,Domestic,Brașov,Rapid București,1,2,1-2,A,wikipedia,wikipedia,football-data
2015-04-24,2014/15,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Universitatea Craiova,2,2,2-2,D,wikipedia,wikipedia,football-data
2015-04-24,2014/15,Romania,SuperLiga,1,Domestic,Dinamo București,CFR Cluj,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-04-25,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,CSMS Iași,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-04-25,2014/15,Romania,SuperLiga,1,Domestic,Târgu Mureș,Pandurii Târgu Jiu,2,1,2-1,H,wikipedia,wikipedia,football-data
2015-04-25,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Cluj,Steaua București,0,3,0-3,A,wikipedia,wikipedia,football-data
2015-04-26,2014/15,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Gaz Metan Mediaș,1,2,1-2,A,wikipedia,wikipedia,football-data
2015-04-26,2014/15,Romania,SuperLiga,1,Domestic,Oțelul Galați,Viitorul Constanța,3,0,3-0,H,wikipedia,wikipedia,football-data
2015-04-27,2014/15,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,Petrolul Ploiești,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-04-28,2014/15,Romania,SuperLiga,1,Domestic,CFR Cluj,Concordia Chiajna,2,1,2-1,H,wikipedia,wikipedia,football-data
