goratings_id,goratings_name,source_goratings_name,canonical_goratings_id,alias_count,historical_name,match_status,match_iteration,match_game_count,second_best_game_count,checkpoint_rating,checkpoint_games,last_historical_game,name_occurrences
2446,Jeong Junwoo,Jeong Junwoo,2446,1,Jeong Junwoo,exact_name_match,0,NA,NA,3174.048697588999,16,2025-10-22,12
1436,Jiang Qirun,Jiang Qirun,1436,1,Jiang Qirun,exact_name_match,0,NA,NA,3389.2292867748342,197,2025-12-15,17
964,Jiang Weijie,Jiang Weijie,964,1,Jiang Weijie,exact_name_match,0,NA,NA,3459.9296444313018,665,2025-12-09,32
205,Jiang Zhujiu,Jiang Zhujiu,205,1,Jiang Zhujiu,exact_name_match,0,NA,NA,3122.277936785287,262,2025-09-09,1
2032,Jin Yucheng,Jin Yucheng,2032,1,Jin Yucheng,exact_name_match,0,NA,NA,3543.42483423088,138,2025-12-19,28
2303,Jo Bunen,Jo Bunen,2303,1,Jo Bunen,exact_name_match,0,NA,NA,2922.690688908173,39,2025-10-25,25
1556,Kageyama Toshiyuki,Kageyama Toshiyuki,1556,1,Kageyama Toshiyuki,exact_name_match,0,NA,NA,3087.9582326987197,4,2024-02-21,8
1076,Kamiji Hiroki,Kamiji Hiroki,1076,1,Kamiji Hiroki,exact_name_match,0,NA,NA,3077.9989859597126,7,2009-02-16,1
794,Kanazawa Hideo,Kanazawa Hideo,794,1,Kanazawa Hideo,exact_name_match,0,NA,NA,3313.077193057568,57,2024-11-18,6
1538,Kaneko Maki,Kaneko Maki,1538,1,Kaneko Maki,exact_name_match,0,NA,NA,3071.492983434705,29,2025-02-03,2
313,Kang Dongyun,Kang Dongyun,313,1,Kang Dongyun,exact_name_match,0,NA,NA,3500.108582047316,976,2025-12-18,18
1309,Kang Jihoon,Kang Jihoon,1309,1,Kang Jihoon,exact_name_match,0,NA,NA,3150.7874107654197,12,2025-12-20,2
204,Kang Jiseong,Kang Jiseong,204,1,Kang Jiseong,exact_name_match,0,NA,NA,3194.3820204401004,73,2023-07-25,2
1257,Kang Seungmin,Kang Seungmin,1257,1,Kang Seungmin,exact_name_match,0,NA,NA,3388.2890831109557,228,2025-12-18,19
1132,Kang Yootaek,Kang Yootaek,1132,1,Kang Yootaek,exact_name_match,0,NA,NA,3403.988345770061,255,2025-12-20,17
1213,Kanno Masashi,Kanno Masashi,1213,1,Kanno Masashi,exact_name_match,0,NA,NA,3044.697078735794,7,2023-02-16,1
235,Kataoka Satoshi,Kataoka Satoshi,235,1,Kataoka Satoshi,exact_name_match,0,NA,NA,3185.653564077786,725,2025-12-08,6
287,Kato Atsushi,Kato Atsushi,287,1,Kato Atsushi,exact_name_match,0,NA,NA,3144.142924913786,225,2025-08-25,6
1966,Kato Chie,Kato Chie,1966,1,Kato Chie,exact_name_match,0,NA,NA,3056.324325631599,78,2025-12-25,34
890,Kato Keiko,Kato Keiko,890,1,Kato Keiko,exact_name_match,0,NA,NA,2994.299893023556,184,2025-12-25,4
308,Kato Tomoko,Kato Tomoko,308,1,Kato Tomoko,exact_name_match,0,NA,NA,3030.748890358162,190,2025-12-11,4
