issue,date,black_id,black_name,white_id,white_name,winner_id,reported_by_black,reported_by_white,details
Profile observation counts differ,2026-05-15,2588,Kim Sawoo,10001328,Kang Kyeonghyeon,2588,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-18,2586,Lyu Zhengyi,2604,Xiong Mingrui,2586,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-21,000546,Kunimatsu So,2374,Konishi Yoshiakira,000546,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-05-22,2515,Lee Seungmin,10001328,Kang Kyeonghyeon,2515,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-26,000550,Kohhara Nono,2487,Takeshita Nana,2487,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-05-26,000550,Kohhara Nono,2519,Takayama Nonoka,000550,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-05-26,000551,Katayama Toko,2561,Obata Minori,2561,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-05-26,10001259,노우진,2605,Lee Yoon,2605,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-05-26,2419,Yanagihara Saki,000551,Katayama Toko,2419,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-26,2554,Saga Shuntaro,000546,Kunimatsu So,000546,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-26,2589,Mizokami Daisuke,000546,Kunimatsu So,000546,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-27,000546,Kunimatsu So,2487,Takeshita Nana,000546,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-05-27,2361,Shinoda Yuya,000551,Katayama Toko,2361,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-27,2430,Arai Kanta,000550,Kohhara Nono,2430,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-27,2562,Sekiyama Honoka,000551,Katayama Toko,2562,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-27,2589,Mizokami Daisuke,000550,Kohhara Nono,2589,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-28,10001281,Yoon Seowon,2568,Lim Jiho,10001281,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-05-28,10001360,윤서율,2446,Jeong Junwoo,2446,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-05-28,2610,Yoo Hajoon,2581,Pyo Hyeonwoo,2610,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-29,2476,Ki Minchan,10001364,전종찬,2476,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-30,12874356,Motoki Noguchi,1543,Ali Jabarin,1543,0,1,Black profile rows: 0; White profile rows: 1
